model,seed,episode,episode_reward,epsilon,mean_loss,steps
VQC-DQN,22,0,-44.3,0.99,,7
VQC-DQN,22,1,-13.6,0.9801,,24
VQC-DQN,22,2,-25.75,0.9702989999999999,11.522381146748861,9
VQC-DQN,22,3,-35.35,0.96059601,14.032738413129534,7
VQC-DQN,22,4,-16.0,0.9509900498999999,15.927867412567139,2
VQC-DQN,22,5,-4.8000000000000025,0.9414801494009999,15.148845434188843,24
VQC-DQN,22,6,4.049999999999999,0.9320653479069899,12.016142646471659,24
VQC-DQN,22,7,-16.05,0.92274469442792,9.46130895614624,2
VQC-DQN,22,8,-15.35,0.9135172474836407,10.650103569030762,4
VQC-DQN,22,9,-12.650000000000002,0.9043820750088043,10.028048684199652,24
VQC-DQN,22,10,-71.99999999999999,0.8953382542587163,10.246071934700012,24
VQC-DQN,22,11,0.7999999999999997,0.8863848717161291,8.873523632685343,24
VQC-DQN,22,12,-10.0,0.8775210229989678,10.613162994384766,1
VQC-DQN,22,13,-4.4999999999999964,0.8687458127689781,7.4851420025030775,24
VQC-DQN,22,14,-20.05,0.8600583546412883,7.730036576588948,3
VQC-DQN,22,15,-11.299999999999999,0.8514577710948754,7.084767659505208,24
VQC-DQN,22,16,-1.3500000000000023,0.8429431933839266,5.667633136113484,24
VQC-DQN,22,17,-21.950000000000003,0.8345137614500874,4.852762967348099,24
VQC-DQN,22,18,-20.500000000000004,0.8261686238355865,4.561237553755443,24
VQC-DQN,22,19,4.550000000000001,0.8179069375972307,3.7828819205363593,24
VQC-DQN,22,20,-26.549999999999997,0.8097278682212583,3.478271722793579,24
VQC-DQN,22,21,-5.250000000000002,0.8016305895390458,3.9477768540382385,24
VQC-DQN,22,22,4.449999999999998,0.7936142836436553,3.624213029940923,24
VQC-DQN,22,23,2.949999999999999,0.7856781408072188,2.8399638881285987,24
VQC-DQN,22,24,6.649999999999999,0.7778213593991465,2.633324126402537,24
VQC-DQN,22,25,-24.75,0.7700431458051551,1.89954754114151,10
VQC-DQN,22,26,-23.75,0.7623427143471035,1.9948977828025818,24
VQC-DQN,22,27,3.4,0.7547192872036325,2.225151315331459,24
VQC-DQN,22,28,-16.1,0.7471720943315961,2.290683701634407,16
VQC-DQN,22,29,-20.05,0.7397003733882802,2.587834278742472,3
VQC-DQN,22,30,14.549999999999997,0.7323033696543974,2.11812391380469,24
VQC-DQN,22,31,-19.299999999999994,0.7249803359578534,2.539934381842613,24
VQC-DQN,22,32,0.05000000000000038,0.7177305325982748,2.2163915087779364,24
VQC-DQN,22,33,10.999999999999998,0.7105532272722921,1.8569554885228474,24
VQC-DQN,22,34,-6.700000000000002,0.7034476949995692,1.8332365055878956,24
VQC-DQN,22,35,-11.150000000000004,0.6964132180495735,1.911153530081113,24
VQC-DQN,22,36,13.299999999999997,0.6894490858690777,1.7841056883335114,24
VQC-DQN,22,37,-20.1,0.682554595010387,1.5301954529502175,11
VQC-DQN,22,38,-51.09999999999999,0.6757290490602831,1.4179455662767093,24
VQC-DQN,22,39,1.35,0.6689717585696803,1.6534882461031277,24
VQC-DQN,22,40,-33.35,0.6622820409839835,1.3754665752251942,6
VQC-DQN,22,41,7.75,0.6556592205741436,1.746685768167178,24
VQC-DQN,22,42,-11.3,0.6491026283684022,1.6133522788683574,24
VQC-DQN,22,43,-27.549999999999994,0.6426116020847181,1.6841771552960079,24
VQC-DQN,22,44,4.549999999999999,0.6361854860638709,1.6268139059344928,24
VQC-DQN,22,45,-10.2,0.6298236312032323,1.3996325209736824,24
VQC-DQN,22,46,-20.1,0.6235253948912,1.2175016005833943,3
VQC-DQN,22,47,-8.600000000000003,0.617290140942288,1.196048304438591,24
VQC-DQN,22,48,8.95,0.6111172395328651,1.5874040698011715,24
VQC-DQN,22,49,-13.450000000000003,0.6050060671375365,1.3264197657505672,24
VQC-DQN,22,50,8.95,0.5989560064661611,1.2481959983706474,24
VQC-DQN,22,51,11.049999999999997,0.5929664464014994,1.4847544133663177,24
VQC-DQN,22,52,0.09999999999999987,0.5870367819374844,1.4619953508178394,24
VQC-DQN,22,53,8.95,0.5811664141181095,1.4250738869110744,24
VQC-DQN,22,54,16.45,0.5753547499769285,1.2559693505366643,24
VQC-DQN,22,55,-0.6499999999999995,0.5696012024771592,1.2000657618045807,24
