noise_std,model,reward_mean,reward_std,map_target_ratio,hypotension_rate,lactate_high_rate,action_switch_rate,terminal_bad_rate
0.0,Fusion-a0.8,21.16348333333333,2.9259330810051654,0.9329166666666666,0.004055555555555555,0.0043055555555555555,0.404375,0.0
0.0,Standard-DQN,21.073716666666662,3.012854811928624,0.9310972222222221,0.004055555555555555,0.0043055555555555555,0.4391527777777777,0.0
0.0,VQC-DQN,20.93326666666666,3.0247834248330263,0.9246944444444445,0.004055555555555555,0.0043055555555555555,0.41533333333333333,0.0
0.0,RuleBased,6.590300000000002,3.2544202751195246,0.37754166666666666,0.004055555555555555,0.0043055555555555555,0.33044444444444443,0.0
0.01,Standard-DQN,20.996266666666664,2.9350026932114703,0.9285277777777778,0.0041111111111111105,0.004069444444444444,0.4464444444444444,0.0
0.01,Fusion-a0.8,20.978666666666665,2.896923185646582,0.9264166666666667,0.0041111111111111105,0.004069444444444444,0.4146666666666667,0.0
0.01,VQC-DQN,20.70183333333333,3.0081361227843337,0.9163472222222222,0.0041111111111111105,0.004069444444444444,0.4233055555555556,0.0
0.01,RuleBased,7.064050000000002,2.7830079905248377,0.3961944444444444,0.0041111111111111105,0.004069444444444444,0.34529166666666666,0.0
0.02,Standard-DQN,20.553366666666665,3.09112849253171,0.9132638888888889,0.004333333333333333,0.0045,0.4493333333333333,0.0
0.02,Fusion-a0.8,20.417466666666662,3.083705778658526,0.9070972222222222,0.004333333333333333,0.0045138888888888885,0.4245277777777777,0.0
0.02,VQC-DQN,20.04408333333333,3.3608393158095344,0.8942222222222221,0.004333333333333333,0.0045138888888888885,0.42868055555555556,0.0
0.02,RuleBased,7.551300000000002,3.6032940326820357,0.4161944444444444,0.004333333333333333,0.0045,0.34886111111111107,0.0
0.05,Standard-DQN,16.502816666666664,5.304553923799725,0.7890277777777779,0.005319444444444444,0.01952777777777778,0.494375,0.0
0.05,Fusion-a0.8,15.701866666666664,6.2667554542626,0.7684583333333334,0.005319444444444444,0.02075,0.44683333333333336,0.0
0.05,VQC-DQN,14.918766666666665,6.966151153938745,0.7496666666666667,0.005319444444444444,0.020666666666666667,0.43961111111111106,0.0
0.05,RuleBased,9.815983333333334,5.341653126055208,0.5217777777777778,0.005319444444444444,0.011486111111111112,0.3834305555555556,0.0
0.1,Standard-DQN,3.3830999999999993,10.159873542526668,0.5214166666666666,0.01981944444444444,0.07819444444444444,0.48854166666666665,0.008333333333333333
0.1,RuleBased,2.8879999999999995,10.758082222730836,0.44429166666666664,0.02319444444444444,0.06051388888888889,0.45231944444444444,0.009
0.1,Fusion-a0.8,0.6771666666666661,11.960826299249117,0.4855555555555556,0.01994444444444444,0.07548611111111111,0.4363472222222223,0.008333333333333333
0.1,VQC-DQN,-0.5211500000000006,12.563315478385343,0.4681666666666667,0.020069444444444442,0.07343055555555555,0.4235555555555556,0.009
