profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,-42.55,24,0.0,8,7,9,0.0,0.3333333333333333,0.0,0.0,0.7916666666666666,Random,25,0
mild_risk,13.199999999999998,24,0.0,7,7,10,0.625,0.0,0.0,0.0,0.75,Random,25,1
mild_risk,4.5,24,0.0,8,8,8,0.2916666666666667,0.0,0.0,0.0,0.6666666666666666,Random,25,2
mild_risk,-37.650000000000006,21,1.0,10,6,5,0.19047619047619047,0.3333333333333333,0.047619047619047616,0.0,0.6190476190476191,Random,25,3
mild_risk,-5.449999999999997,24,0.0,4,13,7,0.4583333333333333,0.125,0.0,0.0,0.375,Random,25,4
mild_risk,6.999999999999999,24,0.0,8,5,11,0.4583333333333333,0.0,0.0,0.0,0.6666666666666666,Random,25,5
mild_risk,-32.74999999999999,24,0.0,9,5,10,0.0,0.25,0.0,0.0,0.7916666666666666,Random,25,6
mild_risk,-23.5,24,0.0,10,6,8,0.16666666666666666,0.20833333333333334,0.0,0.0,0.8333333333333334,Random,25,7
mild_risk,-45.85,13,1.0,5,7,1,0.0,0.6153846153846154,0.07692307692307693,0.0,0.6153846153846154,Random,25,8
mild_risk,-43.400000000000006,20,1.0,6,11,3,0.15,0.4,0.05,0.0,0.55,Random,25,9
mild_risk,-31.200000000000003,13,1.0,8,1,4,0.0,0.38461538461538464,0.07692307692307693,0.0,0.6923076923076923,Random,25,10
mild_risk,-7.8,24,0.0,11,5,8,0.375,0.125,0.0,0.0,0.5,Random,25,11
mild_risk,11.149999999999999,24,0.0,8,5,11,0.5416666666666666,0.0,0.0,0.0,0.625,Random,25,12
mild_risk,-34.3,24,1.0,10,9,5,0.125,0.25,0.041666666666666664,0.0,0.7083333333333334,Random,25,13
mild_risk,-45.8,12,1.0,5,5,2,0.0,0.6666666666666666,0.08333333333333333,0.0,0.75,Random,25,14
mild_risk,-2.1999999999999997,24,0.0,8,8,8,0.041666666666666664,0.0,0.0,0.0,0.75,Random,25,15
mild_risk,-30.7,11,1.0,3,8,0,0.0,0.45454545454545453,0.09090909090909091,0.0,0.2727272727272727,Random,25,16
mild_risk,-26.1,11,1.0,6,4,1,0.0,0.36363636363636365,0.09090909090909091,0.0,0.7272727272727273,Random,25,17
mild_risk,-25.3,6,1.0,5,1,0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.5,Random,25,18
mild_risk,11.299999999999995,24,0.0,7,6,11,0.625,0.0,0.0,0.0,0.75,Random,25,19
moderate_risk,-16.45,13,1.0,5,5,3,0.0,0.15384615384615385,0.07692307692307693,0.0,0.5384615384615384,Random,25,0
moderate_risk,6.599999999999999,24,0.0,6,6,12,0.5833333333333334,0.0,0.0,0.0,0.5833333333333334,Random,25,1
moderate_risk,-22.299999999999994,24,0.0,6,8,10,0.20833333333333334,0.20833333333333334,0.0,0.0,0.75,Random,25,2
moderate_risk,-1.4499999999999986,24,0.0,7,7,10,0.25,0.041666666666666664,0.0,0.0,0.625,Random,25,3
moderate_risk,-6.3,24,0.0,9,6,9,0.25,0.08333333333333333,0.0,0.0,0.5833333333333334,Random,25,4
moderate_risk,14.449999999999996,24,0.0,4,13,7,0.6666666666666666,0.0,0.0,0.0,0.625,Random,25,5
moderate_risk,-36.15,13,1.0,6,3,4,0.0,0.46153846153846156,0.07692307692307693,0.0,0.6923076923076923,Random,25,6
moderate_risk,-51.75,18,1.0,7,7,4,0.0,0.5,0.05555555555555555,0.0,0.9444444444444444,Random,25,7
moderate_risk,-35.6,9,1.0,5,2,2,0.0,0.6666666666666666,0.1111111111111111,0.0,0.6666666666666666,Random,25,8
moderate_risk,6.75,24,0.0,6,9,9,0.375,0.0,0.0,0.0,0.625,Random,25,9
moderate_risk,-35.5,8,1.0,5,1,2,0.0,0.75,0.125,0.0,0.75,Random,25,10
moderate_risk,-28.8,20,1.0,8,6,6,0.15,0.25,0.05,0.0,0.65,Random,25,11
moderate_risk,-32.75,24,0.0,8,7,9,0.0,0.25,0.0,0.0,0.7916666666666666,Random,25,12
moderate_risk,-34.5,18,1.0,8,6,4,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.0,0.6111111111111112,Random,25,13
moderate_risk,-16.5,13,1.0,6,3,4,0.0,0.15384615384615385,0.07692307692307693,0.0,0.6153846153846154,Random,25,14
moderate_risk,-28.15,23,1.0,11,4,8,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.0,0.6956521739130435,Random,25,15
moderate_risk,2.25,24,0.0,6,10,8,0.20833333333333334,0.0,0.0,0.0,0.7083333333333334,Random,25,16
moderate_risk,9.05,24,0.0,8,7,9,0.4583333333333333,0.0,0.0,0.0,0.5416666666666666,Random,25,17
moderate_risk,-55.949999999999996,24,1.0,9,8,7,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.0,0.5833333333333334,Random,25,18
moderate_risk,-26.2,20,1.0,6,8,6,0.05,0.2,0.05,0.0,0.75,Random,25,19
high_risk,-24.05,13,1.0,5,5,3,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.5384615384615384,Random,25,0
high_risk,-30.1,5,1.0,2,3,0,0.0,1.0,0.2,0.0,0.6,Random,25,1
high_risk,-13.05,24,0.0,8,7,9,0.0,0.08333333333333333,0.0,0.0,0.7083333333333334,Random,25,2
high_risk,-55.949999999999996,14,1.0,4,8,2,0.0,0.7142857142857143,0.07142857142857142,0.0,0.7857142857142857,Random,25,3
high_risk,-15.05,2,1.0,2,0,0,0.0,1.0,0.5,0.0,0.5,Random,25,4
high_risk,-22.200000000000003,24,0.0,3,6,15,0.20833333333333334,0.0,0.0,0.0,0.5,Random,25,5
high_risk,-16.25,24,0.0,5,7,12,0.20833333333333334,0.125,0.0,0.0,0.7083333333333334,Random,25,6
high_risk,-30.150000000000002,5,1.0,2,3,0,0.0,1.0,0.2,0.0,0.8,Random,25,7
high_risk,-32.7,24,0.0,8,7,9,0.0,0.25,0.0,0.0,0.75,Random,25,8
high_risk,-55.449999999999996,11,1.0,5,3,3,0.0,0.9090909090909091,0.09090909090909091,0.0,0.7272727272727273,Random,25,9
high_risk,-35.25,7,1.0,3,3,1,0.0,0.8571428571428571,0.14285714285714285,0.0,0.5714285714285714,Random,25,10
high_risk,-22.550000000000004,24,0.0,3,15,6,0.0,0.16666666666666666,0.0,0.0,0.4583333333333333,Random,25,11
high_risk,-25.05,4,1.0,2,2,0,0.0,1.0,0.25,0.0,0.25,Random,25,12
high_risk,-45.5,10,1.0,5,3,2,0.0,0.8,0.1,0.0,0.6,Random,25,13
high_risk,-35.7,10,1.0,4,4,2,0.0,0.6,0.1,0.0,0.7,Random,25,14
high_risk,-45.15,23,1.0,8,8,7,0.08695652173913043,0.34782608695652173,0.043478260869565216,0.0,0.7391304347826086,Random,25,15
high_risk,-39.29999999999999,24,0.0,4,8,12,0.2916666666666667,0.2916666666666667,0.0,0.0,0.6666666666666666,Random,25,16
high_risk,-20.65,20,1.0,9,5,6,0.3,0.2,0.05,0.0,0.65,Random,25,17
high_risk,-20.05,3,1.0,3,0,0,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,Random,25,18
high_risk,-36.89999999999999,18,1.0,7,4,7,0.0,0.3333333333333333,0.05555555555555555,0.0,0.7777777777777778,Random,25,19
shock_like,-43.8,13,1.0,4,5,4,0.0,0.5384615384615384,0.07692307692307693,0.23076923076923078,0.3076923076923077,Random,25,0
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,25,1
shock_like,-16.05,2,1.0,1,1,0,0.0,1.0,0.5,1.0,1.0,Random,25,2
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,25,3
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,25,4
shock_like,-7.8000000000000025,24,0.0,8,5,11,0.125,0.041666666666666664,0.0,0.125,0.6666666666666666,Random,25,5
shock_like,-23.25,4,1.0,2,1,1,0.0,0.75,0.25,1.0,1.0,Random,25,6
shock_like,-27.05,11,1.0,4,4,3,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.6363636363636364,Random,25,7
shock_like,-26.45,7,1.0,3,2,2,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.5714285714285714,Random,25,8
shock_like,-51.949999999999996,13,1.0,5,3,5,0.0,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.9230769230769231,Random,25,9
shock_like,-16.05,2,1.0,2,0,0,0.0,1.0,0.5,1.0,0.5,Random,25,10
shock_like,-39.3,7,1.0,1,5,1,0.0,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.5714285714285714,Random,25,11
shock_like,-16.0,2,1.0,1,1,0,0.0,1.0,0.5,1.0,0.5,Random,25,12
shock_like,-21.0,10,1.0,3,5,2,0.0,0.3,0.1,0.0,0.6,Random,25,13
shock_like,-25.25,5,1.0,2,2,1,0.0,0.8,0.2,0.0,0.6,Random,25,14
shock_like,-58.64999999999999,12,1.0,5,3,4,0.0,0.8333333333333334,0.08333333333333333,0.25,0.75,Random,25,15
shock_like,-50.199999999999996,8,1.0,2,4,2,0.0,1.0,0.125,0.625,0.625,Random,25,16
shock_like,-0.9999999999999998,24,0.0,8,5,11,0.3333333333333333,0.0,0.0,0.041666666666666664,0.5833333333333334,Random,25,17
shock_like,-35.3,6,1.0,3,1,2,0.0,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,Random,25,18
shock_like,-22.1,3,1.0,1,2,0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,Random,25,19
recovering,-55.05,17,1.0,6,9,2,0.058823529411764705,0.5882352941176471,0.058823529411764705,0.0,0.5294117647058824,Random,25,0
recovering,-24.45,8,1.0,5,3,0,0.125,0.5,0.125,0.0,0.5,Random,25,1
recovering,-20.45,6,1.0,5,1,0,0.0,0.5,0.16666666666666666,0.0,0.5,Random,25,2
recovering,4.549999999999999,24,0.0,8,6,10,0.5833333333333334,0.0,0.0,0.0,0.7083333333333334,Random,25,3
recovering,-0.7000000000000021,24,0.0,6,8,10,0.4583333333333333,0.0,0.0,0.0,0.75,Random,25,4
recovering,4.35,24,0.0,9,6,9,0.2916666666666667,0.0,0.0,0.0,0.7916666666666666,Random,25,5
recovering,-33.599999999999994,12,1.0,6,4,2,0.16666666666666666,0.5,0.08333333333333333,0.0,0.4166666666666667,Random,25,6
recovering,-8.6,24,0.0,6,12,6,0.16666666666666666,0.08333333333333333,0.0,0.0,0.6666666666666666,Random,25,7
recovering,-49.05,24,0.0,9,8,7,0.125,0.4166666666666667,0.0,0.0,0.7916666666666666,Random,25,8
recovering,-18.15,17,1.0,9,4,4,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.0,0.7647058823529411,Random,25,9
recovering,-14.5,24,0.0,5,5,14,0.2916666666666667,0.0,0.0,0.0,0.6666666666666666,Random,25,10
