model,seed,episode,episode_reward,epsilon,mean_loss,steps
Small-DQN,26,0,-26.0,0.99,,10
Small-DQN,26,1,-15.05,0.9801,,2
Small-DQN,26,2,-23.2,0.9702989999999999,11.600885391235352,24
Small-DQN,26,3,-40.7,0.96059601,12.434238520535557,11
Small-DQN,26,4,-16.05,0.9509900498999999,14.630696773529053,2
Small-DQN,26,5,-28.15,0.9414801494009999,15.356481075286865,4
Small-DQN,26,6,-2.100000000000002,0.9320653479069899,15.889845252037048,24
Small-DQN,26,7,3.0999999999999996,0.92274469442792,11.733885824680328,24
Small-DQN,26,8,3.049999999999999,0.9135172474836407,8.244735658168793,24
Small-DQN,26,9,-25.0,0.9043820750088043,6.105658710002899,4
Small-DQN,26,10,-35.85,0.8953382542587163,8.005853826349432,11
Small-DQN,26,11,-0.24999999999999956,0.8863848717161291,7.994147330522537,24
Small-DQN,26,12,-40.150000000000006,0.8775210229989678,8.568919386182513,7
Small-DQN,26,13,-63.449999999999996,0.8687458127689781,8.737878580888113,24
Small-DQN,26,14,-4.999999999999998,0.8600583546412883,7.021727561950684,24
Small-DQN,26,15,-2.8499999999999996,0.8514577710948754,6.49520327647527,24
Small-DQN,26,16,-6.6,0.8429431933839266,5.75188809633255,24
Small-DQN,26,17,-10.0,0.8345137614500874,7.0603413581848145,1
Small-DQN,26,18,-13.5,0.8261686238355865,4.967803001403809,24
Small-DQN,26,19,1.75,0.8179069375972307,5.11048291126887,24
Small-DQN,26,20,1.6999999999999993,0.8097278682212583,4.5575578808784485,24
Small-DQN,26,21,-30.500000000000004,0.8016305895390458,4.5084718863169355,24
Small-DQN,26,22,-30.150000000000002,0.7936142836436553,4.040975232919057,24
Small-DQN,26,23,-16.0,0.7856781408072188,4.708742618560791,2
Small-DQN,26,24,-10.600000000000007,0.7778213593991465,4.001497765382131,24
Small-DQN,26,25,-32.05,0.7700431458051551,3.441941032807032,24
Small-DQN,26,26,-68.5,0.7623427143471035,3.780461843197162,13
Small-DQN,26,27,-10.600000000000001,0.7547192872036325,3.141436735788981,24
Small-DQN,26,28,3.1499999999999995,0.7471720943315961,3.1627228607734046,24
Small-DQN,26,29,-23.65,0.7397003733882802,2.6558068046967187,24
Small-DQN,26,30,-30.050000000000004,0.7323033696543974,2.8973984767993293,24
Small-DQN,26,31,-9.499999999999998,0.7249803359578534,2.784975533684095,24
Small-DQN,26,32,-8.600000000000005,0.7177305325982748,2.4672969530026116,24
Small-DQN,26,33,-11.900000000000006,0.7105532272722921,2.503626118103663,24
Small-DQN,26,34,-16.05,0.7034476949995692,3.0163662433624268,2
Small-DQN,26,35,-21.05,0.6964132180495735,2.2960327863693237,10
Small-DQN,26,36,15.399999999999995,0.6894490858690777,2.3011747946341834,24
Small-DQN,26,37,-3.4,0.682554595010387,2.3322827766338983,24
Small-DQN,26,38,-34.3,0.6757290490602831,2.042528672651811,22
Small-DQN,26,39,-45.300000000000004,0.6689717585696803,2.315878563457065,9
Small-DQN,26,40,-11.450000000000001,0.6622820409839835,2.170649523536364,24
Small-DQN,26,41,-42.25,0.6556592205741436,2.2127408385276794,24
Small-DQN,26,42,6.750000000000001,0.6491026283684022,2.2858982930580773,24
Small-DQN,26,43,12.049999999999995,0.6426116020847181,2.2275544106960297,24
Small-DQN,26,44,-2.8999999999999995,0.6361854860638709,2.105460981527964,24
Small-DQN,26,45,11.499999999999996,0.6298236312032323,1.8446748678882916,24
Small-DQN,26,46,8.6,0.6235253948912,2.033814469973246,24
Small-DQN,26,47,6.8,0.617290140942288,2.0072697401046753,24
Small-DQN,26,48,4.500000000000001,0.6111172395328651,1.7384874075651169,24
Small-DQN,26,49,-5.949999999999999,0.6050060671375365,1.7581400324900944,24
Small-DQN,26,50,9.149999999999995,0.5989560064661611,1.5862971767783165,24
Small-DQN,26,51,5.65,0.5929664464014994,1.7563279171784718,24
Small-DQN,26,52,12.049999999999995,0.5870367819374844,1.848460540175438,24
Small-DQN,26,53,-2.4500000000000006,0.5811664141181095,1.696543003122012,24
Small-DQN,26,54,-20.55,0.5753547499769285,1.5649165610472362,24
Small-DQN,26,55,4.3500000000000005,0.5696012024771592,1.851454829176267,24
Small-DQN,26,56,-17.35,0.5639051904523876,1.518646816412608,24
Small-DQN,26,57,-1.2000000000000002,0.5582661385478638,1.6009680057565372,24
Small-DQN,26,58,5.650000000000001,0.5526834771623851,1.532284754017989,24
Small-DQN,26,59,6.649999999999998,0.5471566423907612,1.4835647468765576,24
Small-DQN,26,60,-96.14999999999998,0.5416850759668536,1.5129255002195185,22
Small-DQN,26,61,0.1999999999999993,0.536268225207185,1.5797204474608104,24
Small-DQN,26,62,12.099999999999998,0.5309055429551132,1.547410786151886,24
Small-DQN,26,63,11.599999999999998,0.525596487525562,1.5183838283022244,24
Small-DQN,26,64,8.049999999999997,0.5203405226503064,1.5971131498614948,24
Small-DQN,26,65,8.799999999999999,0.5151371174238033,1.6468129108349483,24
Small-DQN,26,66,10.849999999999996,0.5099857462495653,1.5503372997045517,24
Small-DQN,26,67,15.399999999999997,0.5048858887870696,1.4916803936163585,24
Small-DQN,26,68,-10.0,0.4998370298991989,1.9046380519866943,1
Small-DQN,26,69,12.199999999999996,0.49483865960020695,1.368107907474041,24
Small-DQN,26,70,-19.600000000000005,0.4898902730042049,1.6277786220113437,24
Small-DQN,26,71,6.15,0.48499137027416284,1.496583605806033,24
Small-DQN,26,72,8.75,0.4801414565714212,1.6295355757077534,24
Small-DQN,26,73,-1.4,0.475340042005707,1.4160320882995923,24
Small-DQN,26,74,-5.250000000000001,0.47058664158564995,1.4582927177349727,24
Small-DQN,26,75,6.75,0.4658807751697934,1.43835652867953,24
Small-DQN,26,76,-11.200000000000001,0.4612219674180955,1.3164652933677037,24
Small-DQN,26,77,7.8,0.45660974774391455,1.3188155442476273,24
Small-DQN,26,78,15.349999999999996,0.4520436502664754,1.4128644491235416,24
Small-DQN,26,79,8.100000000000001,0.44752321376381066,1.3830328074594338,24
Small-DQN,26,80,6.75,0.44304798162617254,1.4519513224562008,24
Small-DQN,26,81,11.199999999999998,0.4386175018099108,1.4138723115126293,24
Small-DQN,26,82,3.199999999999999,0.4342313267918117,1.5253677815198898,24
Small-DQN,26,83,17.949999999999996,0.4298890135238936,1.5019086201985676,24
Small-DQN,26,84,-2.8499999999999996,0.42559012338865465,1.3856898695230484,24
Small-DQN,26,85,4.200000000000001,0.4213342221547681,1.4363733381032944,24
Small-DQN,26,86,19.099999999999998,0.41712087993322045,1.1407703359921773,24
Small-DQN,26,87,-5.65,0.41294967113388825,1.328304223716259,24
Small-DQN,26,88,8.95,0.40882017442254937,1.2789350921909015,24
Small-DQN,26,89,4.749999999999999,0.4047319726783239,1.262711229423682,24
Small-DQN,26,90,16.699999999999996,0.40068465295154065,1.2157147899270058,24
Small-DQN,26,91,3.2,0.39667780642202527,1.2807645052671432,24
Small-DQN,26,92,1.8500000000000005,0.392711028357805,1.3645887300372124,24
Small-DQN,26,93,16.749999999999996,0.38878391807422696,1.3671324302752812,24
Small-DQN,26,94,0.900000000000002,0.3848960788934847,1.2859534447391827,24
Small-DQN,26,95,-6.3999999999999995,0.38104711810454983,1.3092924505472183,24
Small-DQN,26,96,9.949999999999998,0.37723664692350434,1.3106910934050877,24
Small-DQN,26,97,16.749999999999996,0.37346428045426927,1.4215149109562237,24
Small-DQN,26,98,13.349999999999998,0.36972963764972655,1.354069471359253,24
Small-DQN,26,99,4.6000000000000005,0.36603234127322926,1.2657360434532166,24
Small-DQN,26,100,9.65,0.36237201786049694,1.3063458651304245,24
Small-DQN,26,101,13.549999999999999,0.358748297681892,1.243404934803645,24
Small-DQN,26,102,-16.05,0.35516081470507305,1.2273547649383545,2
Small-DQN,26,103,15.649999999999999,0.3516092065580223,1.1135246853033702,24
Small-DQN,26,104,11.149999999999999,0.34809311449244207,1.262801061073939,24
Small-DQN,26,105,3.7,0.34461218334751764,1.106481745839119,24
Small-DQN,26,106,16.699999999999996,0.34116606151404244,1.285183350245158,24
Small-DQN,26,107,15.899999999999999,0.337754400898902,1.0869417463739712,24
Small-DQN,26,108,17.899999999999995,0.334376856889913,1.1584133083621662,24
Small-DQN,26,109,9.3,0.33103308832101386,1.187287633617719,24
Small-DQN,26,110,16.599999999999994,0.3277227574378037,1.322680041193962,24
Small-DQN,26,111,19.15,0.3244455298634257,1.2835930089155834,24
Small-DQN,26,112,15.699999999999998,0.3212010745647914,1.1634350915749867,24
Small-DQN,26,113,-10.750000000000004,0.3179890638191435,1.1095683140059311,24
Small-DQN,26,114,11.199999999999998,0.31480917318095203,0.9919254978497823,24
Small-DQN,26,115,3.45,0.3116610814491425,0.9880999264617761,24
Small-DQN,26,116,-4.999999999999999,0.30854447063465107,1.2206690174837906,24
Small-DQN,26,117,5.85,0.30545902592830454,0.959930901726087,24
Small-DQN,26,118,4.45,0.3024044356690215,0.9235331217447916,24
Small-DQN,26,119,13.549999999999997,0.29938039131233124,0.9101400400201479,24
Small-DQN,26,120,-12.199999999999998,0.2963865873992079,0.7536354598899683,24
Small-DQN,26,121,15.499999999999996,0.29342272152521587,1.014693443973859,24
Small-DQN,26,122,8.05,0.2904884943099637,0.9382992709676424,24
Small-DQN,26,123,12.05,0.28758360936686406,1.0937731737891834,24
Small-DQN,26,124,8.9,0.2847077732731954,0.881664882103602,24
Small-DQN,26,125,7.05,0.28186069554046345,0.8766843440632025,24
Small-DQN,26,126,5.000000000000002,0.2790420885850588,0.8047907414535681,24
Small-DQN,26,127,2.3,0.2762516676992082,0.8345680149892966,24
Small-DQN,26,128,17.699999999999996,0.27348915102221616,0.8513421763976415,24
Small-DQN,26,129,4.450000000000002,0.270754259511994,0.8801101483404636,24
Small-DQN,26,130,18.049999999999997,0.26804671691687404,0.8073002099990845,24
Small-DQN,26,131,3.5999999999999996,0.2653662497477053,0.9055900561312834,24
Small-DQN,26,132,18.749999999999996,0.2627125872502282,1.007411499818166,24
Small-DQN,26,133,-4.5499999999999945,0.2600854613777259,0.9837820579608282,24
Small-DQN,26,134,-20.800000000000004,0.2574846067639487,0.8689203634858131,24
Small-DQN,26,135,16.899999999999995,0.2549097606963092,0.9445690885186195,24
Small-DQN,26,136,10.149999999999999,0.2523606630893461,1.0082481938103836,24
Small-DQN,26,137,-3.0,0.24983705645845267,0.7885790194074312,24
Small-DQN,26,138,11.799999999999997,0.24733868589386815,0.8402434810996056,24
Small-DQN,26,139,-2.05,0.24486529903492946,0.7565443590283394,24
Small-DQN,26,140,18.099999999999998,0.24241664604458016,0.9048580192029476,24
Small-DQN,26,141,13.5,0.23999247958413436,0.9168360494077206,24
Small-DQN,26,142,10.4,0.23759255478829303,0.909377209842205,24
Small-DQN,26,143,19.999999999999996,0.2352166292404101,0.9085910928746065,24
Small-DQN,26,144,7.8500000000000005,0.232864462948006,0.9174660742282867,24
Small-DQN,26,145,9.100000000000001,0.23053581831852593,0.7398692580560843,24
Small-DQN,26,146,15.699999999999998,0.22823046013534068,0.7776768282055855,24
Small-DQN,26,147,18.15,0.22594815553398728,0.8073237302402655,24
Small-DQN,26,148,3.5500000000000003,0.22368867397864742,0.6920704754690329,24
Small-DQN,26,149,15.449999999999996,0.22145178723886094,0.6768777978916963,24
Small-DQN,26,150,15.549999999999999,0.21923726936647234,0.7829388752579689,24
Small-DQN,26,151,-2.7755575615628914e-16,0.2170448966728076,0.8065818299849828,24
Small-DQN,26,152,16.799999999999997,0.21487444770607952,0.7225865013897419,24
Small-DQN,26,153,16.999999999999993,0.21272570322901874,0.7239504841466745,24
