model,seed,episode,episode_reward,epsilon,mean_loss,steps
Standard-DQN,10,0,-16.0,0.99,,2
Standard-DQN,10,1,14.549999999999994,0.9801,,24
Standard-DQN,10,2,3.3000000000000003,0.9702989999999999,3.70094402840263,24
Standard-DQN,10,3,3.1499999999999995,0.96059601,2.777939255038897,24
Standard-DQN,10,4,-3.6,0.9509900498999999,1.8340384997427464,24
Standard-DQN,10,5,-15.05,0.9414801494009999,1.246948927640915,2
Standard-DQN,10,6,-23.750000000000004,0.9320653479069899,2.686079725623131,24
Standard-DQN,10,7,9.049999999999999,0.92274469442792,2.3918247992793717,24
Standard-DQN,10,8,11.2,0.9135172474836407,2.176723631719748,24
Standard-DQN,10,9,5.0,0.9043820750088043,1.7166419650117557,24
Standard-DQN,10,10,-16.05,0.8953382542587163,1.5703092217445374,2
Standard-DQN,10,11,-23.55,0.8863848717161291,1.9233023391829596,9
Standard-DQN,10,12,-10.0,0.8775210229989678,5.266300201416016,1
Standard-DQN,10,13,-0.3999999999999999,0.8687458127689781,2.0780123521884284,24
Standard-DQN,10,14,-4.199999999999999,0.8600583546412883,1.8307875817020733,24
Standard-DQN,10,15,-45.85,0.8514577710948754,2.3422647347817054,13
Standard-DQN,10,16,-52.34999999999999,0.8429431933839266,2.294883131980896,24
Standard-DQN,10,17,-5.9,0.8345137614500874,2.3525049264232316,24
Standard-DQN,10,18,-10.000000000000009,0.8261686238355865,2.3566444317499795,24
Standard-DQN,10,19,3.3000000000000007,0.8179069375972307,2.4313502634565034,24
Standard-DQN,10,20,1.6499999999999964,0.8097278682212583,2.063632341722647,24
Standard-DQN,10,21,-10.0,0.8016305895390458,1.269543170928955,1
Standard-DQN,10,22,0.5499999999999998,0.7936142836436553,1.7933006435632706,24
Standard-DQN,10,23,4.3999999999999995,0.7856781408072188,1.8792062997817993,24
Standard-DQN,10,24,-10.850000000000003,0.7778213593991465,1.8535367771983147,24
Standard-DQN,10,25,-16.0,0.7700431458051551,2.576722502708435,2
Standard-DQN,10,26,-15.350000000000007,0.7623427143471035,1.6731061389048894,24
Standard-DQN,10,27,-30.7,0.7547192872036325,1.84122629960378,9
Standard-DQN,10,28,-37.54999999999999,0.7471720943315961,1.8383311654130619,24
Standard-DQN,10,29,-31.2,0.7397003733882802,1.962018895149231,5
Standard-DQN,10,30,11.15,0.7323033696543974,1.5713101079066594,24
Standard-DQN,10,31,-22.8,0.7249803359578534,1.6248764519890149,24
Standard-DQN,10,32,13.299999999999994,0.7177305325982748,1.4285041689872742,24
Standard-DQN,10,33,11.199999999999998,0.7105532272722921,1.506992794573307,24
Standard-DQN,10,34,16.549999999999997,0.7034476949995692,1.1902281492948532,24
Standard-DQN,10,35,-10.0,0.6964132180495735,1.2527477741241455,1
Standard-DQN,10,36,-76.75,0.6894490858690777,1.4754162008563678,24
Standard-DQN,10,37,5.4999999999999964,0.682554595010387,1.161557878057162,24
Standard-DQN,10,38,-33.09999999999998,0.6757290490602831,1.267140398422877,24
Standard-DQN,10,39,-0.049999999999999406,0.6689717585696803,1.3140031521519024,24
Standard-DQN,10,40,1.0999999999999999,0.6622820409839835,1.181934120754401,24
Standard-DQN,10,41,-6.950000000000002,0.6556592205741436,1.6349945267041524,24
Standard-DQN,10,42,9.999999999999998,0.6491026283684022,1.4774652073780696,24
Standard-DQN,10,43,1.0999999999999996,0.6426116020847181,1.1836308365066845,24
Standard-DQN,10,44,-23.65,0.6361854860638709,1.366765725115935,24
Standard-DQN,10,45,11.15,0.6298236312032323,1.2328318618237972,24
Standard-DQN,10,46,-20.05,0.6235253948912,1.167096237341563,3
Standard-DQN,10,47,-4.800000000000001,0.617290140942288,1.1952342316508293,24
Standard-DQN,10,48,-17.449999999999996,0.6111172395328651,1.2850251570343971,24
Standard-DQN,10,49,1.8000000000000016,0.6050060671375365,1.0659857677916686,24
Standard-DQN,10,50,11.449999999999998,0.5989560064661611,1.0518312317629654,24
Standard-DQN,10,51,5.400000000000001,0.5929664464014994,1.4250006998578708,24
Standard-DQN,10,52,5.1000000000000005,0.5870367819374844,1.2178415482242901,24
Standard-DQN,10,53,14.349999999999996,0.5811664141181095,1.1692306113739808,24
Standard-DQN,10,54,9.049999999999999,0.5753547499769285,1.387371117870013,24
Standard-DQN,10,55,6.499999999999999,0.5696012024771592,1.200808343787988,24
Standard-DQN,10,56,5.750000000000002,0.5639051904523876,1.051571970184644,24
Standard-DQN,10,57,14.449999999999998,0.5582661385478638,1.116964151461919,24
Standard-DQN,10,58,9.999999999999996,0.5526834771623851,1.0669109386702378,24
Standard-DQN,10,59,16.599999999999994,0.5471566423907612,0.9923219519356886,24
Standard-DQN,10,60,-0.3000000000000004,0.5416850759668536,0.9514361446102461,24
Standard-DQN,10,61,13.499999999999998,0.536268225207185,1.1777927329142888,24
Standard-DQN,10,62,6.8999999999999995,0.5309055429551132,1.1871311751504738,24
Standard-DQN,10,63,8.95,0.525596487525562,1.1453285242120426,24
Standard-DQN,10,64,6.849999999999999,0.5203405226503064,0.9435450558861097,24
Standard-DQN,10,65,-41.4,0.5151371174238033,1.302041952808698,24
Standard-DQN,10,66,-15.850000000000001,0.5099857462495653,1.1201073341071606,24
Standard-DQN,10,67,-3.550000000000005,0.5048858887870696,1.088017649948597,24
Standard-DQN,10,68,14.599999999999996,0.4998370298991989,1.0447262438635032,24
Standard-DQN,10,69,9.45,0.49483865960020695,0.9502840638160706,24
Standard-DQN,10,70,2.5999999999999983,0.4898902730042049,1.0091381035745144,24
Standard-DQN,10,71,-5.8,0.48499137027416284,1.2821345999836922,24
Standard-DQN,10,72,-22.1,0.4801414565714212,1.2308621605237324,3
Standard-DQN,10,73,5.3,0.475340042005707,1.398057299355666,24
Standard-DQN,10,74,4.800000000000002,0.47058664158564995,1.3291082282861073,24
Standard-DQN,10,75,5.800000000000001,0.4658807751697934,1.102523311972618,24
Standard-DQN,10,76,5.199999999999999,0.4612219674180955,1.1183339816828568,24
Standard-DQN,10,77,-45.75,0.45660974774391455,1.0977708101272583,11
Standard-DQN,10,78,12.4,0.4520436502664754,1.2717693510154884,24
Standard-DQN,10,79,18.849999999999994,0.44752321376381066,1.1642435279985268,24
Standard-DQN,10,80,3.9499999999999997,0.44304798162617254,1.3841248576839764,24
Standard-DQN,10,81,-20.29999999999999,0.4386175018099108,1.1407008556028206,24
Standard-DQN,10,82,5.549999999999997,0.4342313267918117,1.110632819434007,24
Standard-DQN,10,83,-3.5000000000000018,0.4298890135238936,1.1515964083373547,24
Standard-DQN,10,84,3.3,0.42559012338865465,1.3810758243004482,24
Standard-DQN,10,85,10.999999999999998,0.4213342221547681,1.0255668858687084,24
Standard-DQN,10,86,7.900000000000001,0.41712087993322045,1.0628474901119869,24
Standard-DQN,10,87,6.3,0.41294967113388825,1.0195259489119053,24
Standard-DQN,10,88,13.299999999999999,0.40882017442254937,1.168340081969897,24
Standard-DQN,10,89,-16.0,0.4047319726783239,0.5366118401288986,2
Standard-DQN,10,90,16.9,0.40068465295154065,1.2047058641910553,24
Standard-DQN,10,91,4.45,0.39667780642202527,1.329183576007684,24
Standard-DQN,10,92,10.999999999999996,0.392711028357805,1.0722378206749756,24
Standard-DQN,10,93,10.2,0.38878391807422696,1.0974862327178319,24
Standard-DQN,10,94,9.149999999999999,0.3848960788934847,0.9713805069526037,24
Standard-DQN,10,95,10.1,0.38104711810454983,1.0362730373938878,24
Standard-DQN,10,96,6.850000000000001,0.37723664692350434,1.0179149160782497,24
Standard-DQN,10,97,14.299999999999995,0.37346428045426927,0.927824237694343,24
Standard-DQN,10,98,5.25,0.36972963764972655,1.15991157044967,24
Standard-DQN,10,99,10.2,0.36603234127322926,1.1589380465447903,24
Standard-DQN,10,100,3.5000000000000004,0.36237201786049694,1.113023579120636,24
Standard-DQN,10,101,9.95,0.358748297681892,1.050395951916774,24
Standard-DQN,10,102,8.799999999999999,0.35516081470507305,1.1370476831992467,24
Standard-DQN,10,103,1.350000000000001,0.3516092065580223,1.081309050321579,24
Standard-DQN,10,104,13.299999999999995,0.34809311449244207,1.3773514007528622,24
Standard-DQN,10,105,4.25,0.34461218334751764,1.276050512989362,24
