model,map_target_ratio,hypotension_rate,lactate_high_rate,action_switch_rate,terminal_bad_rate
Random,0.13818597607585528,0.4190814022830243,0.11703465895877055,0.6617828564977845,0.5556666666666666
RuleBased,0.4161944444444444,0.004333333333333333,0.0045,0.34886111111111107,0.0
Small-DQN,0.835375,0.008972222222222223,0.008763888888888889,0.4036805555555556,0.004666666666666667
Standard-DQN,0.9132638888888889,0.004333333333333333,0.0045,0.4493333333333333,0.0
VQC-DQN,0.8942222222222221,0.004333333333333333,0.0045138888888888885,0.42868055555555556,0.0
Fusion-a0.8,0.9070972222222222,0.004333333333333333,0.0045138888888888885,0.4245277777777777,0.0
