profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,6.149999999999999,24,0.0,10,6,8,0.5416666666666666,0.041666666666666664,0.0,0.0,0.7083333333333334,Random,30,0
mild_risk,12.099999999999998,24,0.0,6,9,9,0.5833333333333334,0.0,0.0,0.0,0.75,Random,30,1
mild_risk,-36.49999999999999,24,0.0,7,8,9,0.041666666666666664,0.2916666666666667,0.0,0.0,0.75,Random,30,2
mild_risk,3.400000000000001,24,0.0,7,9,8,0.25,0.0,0.0,0.0,0.6666666666666666,Random,30,3
mild_risk,-12.899999999999999,24,0.0,3,11,10,0.20833333333333334,0.0,0.0,0.0,0.6666666666666666,Random,30,4
mild_risk,-3.1500000000000004,24,0.0,7,6,11,0.375,0.08333333333333333,0.0,0.0,0.7083333333333334,Random,30,5
mild_risk,-36.8,18,1.0,7,7,4,0.0,0.3333333333333333,0.05555555555555555,0.0,0.6666666666666666,Random,30,6
mild_risk,-40.900000000000006,12,1.0,4,7,1,0.0,0.5833333333333334,0.08333333333333333,0.0,0.75,Random,30,7
mild_risk,-30.35,16,1.0,6,7,3,0.0625,0.3125,0.0625,0.0,0.4375,Random,30,8
mild_risk,-25.7,8,1.0,5,2,1,0.0,0.5,0.125,0.0,0.75,Random,30,9
mild_risk,-12.95,24,0.0,7,4,13,0.20833333333333334,0.0,0.0,0.0,0.7083333333333334,Random,30,10
mild_risk,-46.15,15,1.0,8,4,3,0.0,0.5333333333333333,0.06666666666666667,0.0,0.6666666666666666,Random,30,11
mild_risk,-27.8,23,1.0,8,10,5,0.0,0.17391304347826086,0.043478260869565216,0.0,0.782608695652174,Random,30,12
mild_risk,9.799999999999995,24,0.0,7,8,9,0.5,0.0,0.0,0.0,0.8333333333333334,Random,30,13
mild_risk,-35.849999999999994,12,1.0,8,1,3,0.0,0.5,0.08333333333333333,0.0,0.4166666666666667,Random,30,14
mild_risk,11.049999999999999,24,0.0,6,8,10,0.5416666666666666,0.0,0.0,0.0,0.7083333333333334,Random,30,15
mild_risk,-71.85,24,0.0,9,9,6,0.0,0.5833333333333334,0.0,0.0,0.7083333333333334,Random,30,16
mild_risk,4.8,24,0.0,9,6,9,0.375,0.0,0.0,0.0,0.6666666666666666,Random,30,17
mild_risk,-5.35,24,0.0,11,3,10,0.25,0.041666666666666664,0.0,0.0,0.7083333333333334,Random,30,18
mild_risk,-23.25,14,1.0,7,5,2,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.0,0.7857142857142857,Random,30,19
moderate_risk,-37.79999999999999,24,0.0,7,4,13,0.125,0.2916666666666667,0.0,0.0,0.5,Random,30,0
moderate_risk,-46.6,18,1.0,7,6,5,0.0,0.4444444444444444,0.05555555555555555,0.0,0.6666666666666666,Random,30,1
moderate_risk,-18.85,19,1.0,7,6,6,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0,0.5789473684210527,Random,30,2
moderate_risk,-31.400000000000002,15,1.0,7,4,4,0.0,0.3333333333333333,0.06666666666666667,0.0,0.6,Random,30,3
moderate_risk,-60.64999999999999,13,1.0,5,5,3,0.0,0.8461538461538461,0.07692307692307693,0.0,0.6923076923076923,Random,30,4
moderate_risk,-35.6,11,1.0,2,8,1,0.0,0.5454545454545454,0.09090909090909091,0.0,0.2727272727272727,Random,30,5
moderate_risk,-65.6,14,1.0,5,6,3,0.0,0.8571428571428571,0.07142857142857142,0.0,0.6428571428571429,Random,30,6
moderate_risk,3.5,24,0.0,4,14,6,0.25,0.0,0.0,0.0,0.5833333333333334,Random,30,7
moderate_risk,-46.900000000000006,19,1.0,8,5,6,0.0,0.42105263157894735,0.05263157894736842,0.0,0.8421052631578947,Random,30,8
moderate_risk,-61.949999999999996,24,0.0,7,10,7,0.0,0.5,0.0,0.0,0.625,Random,30,9
moderate_risk,-11.8,24,0.0,9,4,11,0.041666666666666664,0.08333333333333333,0.0,0.0,0.5833333333333334,Random,30,10
moderate_risk,-25.6,8,1.0,4,3,1,0.0,0.5,0.125,0.0,0.5,Random,30,11
moderate_risk,-20.35,6,1.0,2,4,0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,Random,30,12
moderate_risk,-36.35,14,1.0,6,5,3,0.0,0.42857142857142855,0.07142857142857142,0.0,0.8571428571428571,Random,30,13
moderate_risk,-8.750000000000005,24,0.0,7,7,10,0.16666666666666666,0.08333333333333333,0.0,0.0,0.7916666666666666,Random,30,14
moderate_risk,-42.349999999999994,24,0.0,6,11,7,0.0,0.3333333333333333,0.0,0.0,0.625,Random,30,15
moderate_risk,-61.49999999999999,19,1.0,7,7,5,0.0,0.5789473684210527,0.05263157894736842,0.0,0.7368421052631579,Random,30,16
moderate_risk,-34.14999999999999,24,0.0,6,8,10,0.125,0.2916666666666667,0.0,0.0,0.625,Random,30,17
moderate_risk,4.499999999999997,24,0.0,5,10,9,0.2916666666666667,0.0,0.0,0.0,0.6666666666666666,Random,30,18
moderate_risk,-71.29999999999998,20,1.0,9,5,6,0.0,0.65,0.05,0.0,0.65,Random,30,19
high_risk,-30.3,6,1.0,3,3,0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,Random,30,0
high_risk,-50.5,10,1.0,4,4,2,0.0,0.9,0.1,0.0,0.9,Random,30,1
high_risk,-30.7,9,1.0,4,3,2,0.0,0.5555555555555556,0.1111111111111111,0.0,0.6666666666666666,Random,30,2
high_risk,-20.05,3,1.0,3,0,0,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,Random,30,3
high_risk,-15.05,2,1.0,2,0,0,0.0,1.0,0.5,0.0,0.5,Random,30,4
high_risk,-40.900000000000006,12,1.0,6,2,4,0.0,0.5833333333333334,0.08333333333333333,0.0,0.75,Random,30,5
high_risk,-56.35,18,1.0,4,10,4,0.0,0.5555555555555556,0.05555555555555555,0.0,0.6666666666666666,Random,30,6
high_risk,-25.15,4,1.0,3,1,0,0.0,1.0,0.25,0.0,0.75,Random,30,7
high_risk,-55.55,12,1.0,5,3,4,0.0,0.8333333333333334,0.08333333333333333,0.0,0.5833333333333334,Random,30,8
high_risk,-26.74999999999999,24,0.0,7,7,10,0.041666666666666664,0.20833333333333334,0.0,0.0,0.7916666666666666,Random,30,9
high_risk,-2.6500000000000012,24,0.0,8,4,12,0.20833333333333334,0.041666666666666664,0.0,0.0,0.7083333333333334,Random,30,10
high_risk,-20.1,3,1.0,2,1,0,0.0,1.0,0.3333333333333333,0.0,1.0,Random,30,11
high_risk,-26.749999999999986,24,0.0,6,8,10,0.041666666666666664,0.20833333333333334,0.0,0.0,0.7916666666666666,Random,30,12
high_risk,-25.5,7,1.0,3,3,1,0.0,0.5714285714285714,0.14285714285714285,0.0,0.5714285714285714,Random,30,13
high_risk,-33.14999999999999,24,0.0,3,10,11,0.125,0.25,0.0,0.0,0.7083333333333334,Random,30,14
