model,mean_reward,std_reward,se_reward,ci95_reward,n_seeds
Random,-22.866016666666667,2.451351092917358,0.4475534299852598,0.8772047227711093,30
RuleBased,7.551300000000001,0.6226083426005969,0.1136722112444172,0.22279753403905772,30
Small-DQN,18.354683333333334,2.1851109002209403,0.3989448435671431,0.7819318933916005,30
Standard-DQN,20.55336666666666,0.5990867753237553,0.10937778024928337,0.2143804492885954,30
VQC-DQN,20.044083333333333,0.7094466406429311,0.12952664280879825,0.25387221990524456,30
Fusion-a0.8,20.417466666666662,0.5347497309140451,0.09763149674714672,0.19135773362440756,30
