profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,-36.55,16,1.0,8,4,4,0.0,0.375,0.0625,0.0,0.75,Random,7,0
mild_risk,-35.7,10,1.0,6,2,2,0.0,0.6,0.1,0.0,0.6,Random,7,1
mild_risk,8.899999999999999,24,0.0,9,4,11,0.4583333333333333,0.0,0.0,0.0,0.6666666666666666,Random,7,2
mild_risk,10.299999999999997,24,0.0,7,8,9,0.5833333333333334,0.0,0.0,0.0,0.6666666666666666,Random,7,3
mild_risk,-14.150000000000002,24,0.0,8,9,7,0.3333333333333333,0.16666666666666666,0.0,0.0,0.7916666666666666,Random,7,4
mild_risk,-9.549999999999999,24,0.0,4,8,12,0.3333333333333333,0.0,0.0,0.0,0.625,Random,7,5
mild_risk,-29.35,15,1.0,5,7,3,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.7333333333333333,Random,7,6
mild_risk,-81.74999999999999,24,1.0,7,12,5,0.0,0.625,0.041666666666666664,0.0,0.7083333333333334,Random,7,7
mild_risk,-30.35,7,1.0,6,0,1,0.0,0.7142857142857143,0.14285714285714285,0.0,0.42857142857142855,Random,7,8
mild_risk,-10.100000000000001,24,0.0,5,7,12,0.16666666666666666,0.0,0.0,0.0,0.5833333333333334,Random,7,9
mild_risk,-25.95,11,1.0,4,6,1,0.0,0.36363636363636365,0.09090909090909091,0.0,0.45454545454545453,Random,7,10
mild_risk,-35.5,8,1.0,5,2,1,0.0,0.75,0.125,0.0,0.75,Random,7,11
mild_risk,-61.79999999999999,21,1.0,9,6,6,0.0,0.5238095238095238,0.047619047619047616,0.0,0.7619047619047619,Random,7,12
mild_risk,-15.65,8,1.0,3,5,0,0.0,0.25,0.125,0.0,0.125,Random,7,13
mild_risk,3.5499999999999963,24,0.0,6,7,11,0.625,0.0,0.0,0.0,0.875,Random,7,14
mild_risk,-4.85,24,0.0,9,7,8,0.125,0.041666666666666664,0.0,0.0,0.7083333333333334,Random,7,15
