model,seed,episode,episode_reward,epsilon,mean_loss,steps
Standard-DQN,15,0,-56.55,0.99,,20
Standard-DQN,15,1,-19.950000000000003,0.9801,11.339562342717098,24
Standard-DQN,15,2,-25.1,0.9702989999999999,10.399993658065796,4
Standard-DQN,15,3,-10.0,0.96059601,14.709534645080566,1
Standard-DQN,15,4,-20.1,0.9509900498999999,15.110972086588541,3
Standard-DQN,15,5,-6.299999999999999,0.9414801494009999,10.967395027478537,24
Standard-DQN,15,6,-8.4,0.9320653479069899,7.487972021102905,24
Standard-DQN,15,7,-19.55,0.92274469442792,6.487045596043269,24
Standard-DQN,15,8,-45.65,0.9135172474836407,5.013176332820546,11
Standard-DQN,15,9,-20.2,0.9043820750088043,5.610926270484924,4
Standard-DQN,15,10,8.95,0.8953382542587163,5.09898167848587,24
Standard-DQN,15,11,7.95,0.8863848717161291,3.428970808784167,24
Standard-DQN,15,12,-15.15,0.8775210229989678,4.135541121164958,3
Standard-DQN,15,13,-0.4500000000000016,0.8687458127689781,2.962301721175512,24
Standard-DQN,15,14,-15.05,0.8600583546412883,3.469597101211548,2
Standard-DQN,15,15,-36.35,0.8514577710948754,2.940700799226761,16
Standard-DQN,15,16,11.049999999999997,0.8429431933839266,2.8909400403499603,24
Standard-DQN,15,17,-58.04999999999998,0.8345137614500874,2.6589887564380965,24
Standard-DQN,15,18,7.549999999999999,0.8261686238355865,2.5841184854507446,24
Standard-DQN,15,19,-30.900000000000002,0.8179069375972307,2.3868919909000397,10
Standard-DQN,15,20,5.5,0.8097278682212583,2.0659340222676597,24
Standard-DQN,15,21,-6.300000000000002,0.8016305895390458,1.8116602934896946,24
Standard-DQN,15,22,2.4499999999999993,0.7936142836436553,1.8624432211120923,24
Standard-DQN,15,23,-25.5,0.7856781408072188,1.833875128201076,7
Standard-DQN,15,24,-2.9,0.7778213593991465,1.4989699025948842,24
Standard-DQN,15,25,-31.650000000000002,0.7700431458051551,1.649888392756967,17
Standard-DQN,15,26,4.35,0.7623427143471035,1.3066953644156456,24
Standard-DQN,15,27,0.9999999999999999,0.7547192872036325,1.273762767513593,24
Standard-DQN,15,28,6.1000000000000005,0.7471720943315961,1.1403929678102334,24
Standard-DQN,15,29,-2.2,0.7397003733882802,1.204361617565155,24
Standard-DQN,15,30,-3.5500000000000025,0.7323033696543974,1.2971978510419528,24
Standard-DQN,15,31,-45.300000000000004,0.7249803359578534,1.8295882940292358,8
Standard-DQN,15,32,-5.45,0.7177305325982748,1.5837264483173688,24
Standard-DQN,15,33,13.349999999999998,0.7105532272722921,1.515106809635957,24
Standard-DQN,15,34,-26.650000000000002,0.7034476949995692,1.1731524442632992,24
Standard-DQN,15,35,-10.0,0.6964132180495735,1.292755365371704,1
Standard-DQN,15,36,-42.400000000000006,0.6894490858690777,1.2217965688970354,9
Standard-DQN,15,37,-36.0,0.682554595010387,1.6051097099597638,13
Standard-DQN,15,38,-8.650000000000002,0.6757290490602831,1.4287259479363759,24
Standard-DQN,15,39,-10.100000000000001,0.6689717585696803,1.178017247468233,24
Standard-DQN,15,40,5.6499999999999995,0.6622820409839835,1.2030818214019139,24
Standard-DQN,15,41,7.749999999999997,0.6556592205741436,1.721608559290568,24
Standard-DQN,15,42,11.049999999999997,0.6491026283684022,1.1658519754807155,24
Standard-DQN,15,43,8.000000000000002,0.6426116020847181,1.3516707494854927,24
Standard-DQN,15,44,7.550000000000001,0.6361854860638709,1.2191766488055389,24
Standard-DQN,15,45,-2.0500000000000025,0.6298236312032323,1.3457078834374745,24
Standard-DQN,15,46,11.099999999999998,0.6235253948912,1.2244047485291958,24
Standard-DQN,15,47,-21.75,0.617290140942288,0.9748830539839608,21
Standard-DQN,15,48,-15.2,0.6111172395328651,1.1655264099438984,3
Standard-DQN,15,49,10.0,0.6050060671375365,1.170790081222852,24
Standard-DQN,15,50,13.149999999999999,0.5989560064661611,1.0878385218481224,24
Standard-DQN,15,51,10.999999999999996,0.5929664464014994,1.3150101254383724,24
Standard-DQN,15,52,14.449999999999998,0.5870367819374844,1.3662382339437802,24
Standard-DQN,15,53,-23.700000000000006,0.5811664141181095,1.2352795489132404,24
Standard-DQN,15,54,10.949999999999998,0.5753547499769285,1.0030617415904999,24
Standard-DQN,15,55,6.75,0.5696012024771592,0.9957474494973818,24
Standard-DQN,15,56,16.699999999999996,0.5639051904523876,0.9872059971094131,24
Standard-DQN,15,57,14.499999999999996,0.5582661385478638,0.9918749084075292,24
Standard-DQN,15,58,15.849999999999998,0.5526834771623851,1.0030417516827583,24
Standard-DQN,15,59,2.799999999999999,0.5471566423907612,0.8311262391507626,24
Standard-DQN,15,60,-10.25000000000001,0.5416850759668536,0.9335933389763037,24
Standard-DQN,15,61,-18.85,0.536268225207185,1.1091785691678524,24
Standard-DQN,15,62,-22.349999999999994,0.5309055429551132,1.2728586743275325,24
Standard-DQN,15,63,14.499999999999996,0.525596487525562,1.1614305389424164,24
Standard-DQN,15,64,16.549999999999997,0.5203405226503064,1.011033436904351,24
Standard-DQN,15,65,0.699999999999999,0.5151371174238033,1.4112305144468944,24
Standard-DQN,15,66,-15.099999999999998,0.5099857462495653,1.105680571248134,24
Standard-DQN,15,67,-9.500000000000002,0.5048858887870696,1.2395870213707287,24
Standard-DQN,15,68,3.749999999999999,0.4998370298991989,1.0906232371926308,24
Standard-DQN,15,69,10.899999999999997,0.49483865960020695,1.21299093713363,24
Standard-DQN,15,70,9.95,0.4898902730042049,1.2290131027499835,24
Standard-DQN,15,71,16.499999999999996,0.48499137027416284,1.2964517263074715,24
Standard-DQN,15,72,5.199999999999999,0.4801414565714212,1.1646404539545376,24
Standard-DQN,15,73,11.2,0.475340042005707,1.1564636913438637,24
Standard-DQN,15,74,9.750000000000002,0.47058664158564995,1.4243248303731282,24
Standard-DQN,15,75,14.45,0.4658807751697934,1.2464287107189496,24
Standard-DQN,15,76,4.749999999999998,0.4612219674180955,1.1151441509524982,24
Standard-DQN,15,77,15.599999999999996,0.45660974774391455,1.128849991907676,24
Standard-DQN,15,78,7.45,0.4520436502664754,1.0568190589547157,24
Standard-DQN,15,79,-7.450000000000007,0.44752321376381066,1.0410150550305843,24
Standard-DQN,15,80,8.799999999999999,0.44304798162617254,1.2779390116532643,24
Standard-DQN,15,81,17.649999999999995,0.4386175018099108,1.2542832965652149,24
Standard-DQN,15,82,-11.900000000000002,0.4342313267918117,1.1951770422359307,24
Standard-DQN,15,83,16.949999999999996,0.4298890135238936,1.1352477793892224,24
Standard-DQN,15,84,19.050000000000004,0.42559012338865465,1.3462737401326497,24
Standard-DQN,15,85,-4.200000000000005,0.4213342221547681,1.011073077718417,24
Standard-DQN,15,86,11.249999999999998,0.41712087993322045,1.2629094446698825,24
Standard-DQN,15,87,14.249999999999996,0.41294967113388825,1.0631116169194381,24
Standard-DQN,15,88,16.549999999999994,0.40882017442254937,1.1405293767650921,24
Standard-DQN,15,89,-20.6,0.4047319726783239,1.0681878998875618,24
Standard-DQN,15,90,16.7,0.40068465295154065,1.257476344704628,24
Standard-DQN,15,91,-8.399999999999999,0.39667780642202527,1.1688540689647198,24
Standard-DQN,15,92,5.550000000000002,0.392711028357805,0.9565821799139181,24
Standard-DQN,15,93,12.6,0.38878391807422696,1.2019834766785304,24
Standard-DQN,15,94,11.049999999999999,0.3848960788934847,1.179832937816779,24
Standard-DQN,15,95,6.699999999999999,0.38104711810454983,1.0659367094437282,24
Standard-DQN,15,96,8.600000000000003,0.37723664692350434,1.1108362761636574,24
Standard-DQN,15,97,14.249999999999998,0.37346428045426927,1.115261400739352,24
Standard-DQN,15,98,15.749999999999998,0.36972963764972655,1.1339197133978207,24
Standard-DQN,15,99,18.199999999999996,0.36603234127322926,1.147815542916457,24
Standard-DQN,15,100,13.199999999999998,0.36237201786049694,1.193905311326186,24
Standard-DQN,15,101,15.849999999999996,0.358748297681892,1.0061176319917042,24
Standard-DQN,15,102,17.749999999999996,0.35516081470507305,1.3481034897267818,24
Standard-DQN,15,103,-3.100000000000004,0.3516092065580223,1.1204442493617535,24
Standard-DQN,15,104,14.849999999999996,0.34809311449244207,1.0618791927893956,24
Standard-DQN,15,105,-16.05,0.34461218334751764,1.4058586359024048,2
Standard-DQN,15,106,16.85,0.34116606151404244,1.1176906464000542,24
Standard-DQN,15,107,17.849999999999998,0.337754400898902,1.1798816273609798,24
Standard-DQN,15,108,10.3,0.334376856889913,1.0405728711436193,24
Standard-DQN,15,109,17.749999999999996,0.33103308832101386,0.9724139546354612,24
Standard-DQN,15,110,20.099999999999998,0.3277227574378037,0.9305295745531718,24
Standard-DQN,15,111,15.799999999999997,0.3244455298634257,1.0696699507534504,24
Standard-DQN,15,112,16.449999999999996,0.3212010745647914,1.1046453999976318,24
Standard-DQN,15,113,12.149999999999997,0.3179890638191435,0.9303053542971611,24
Standard-DQN,15,114,16.849999999999998,0.31480917318095203,0.9994968511164188,24
Standard-DQN,15,115,14.449999999999998,0.3116610814491425,0.9060107630987962,24
Standard-DQN,15,116,13.399999999999997,0.30854447063465107,0.9846819167335829,24
Standard-DQN,15,117,12.049999999999999,0.30545902592830454,0.9207807164639235,24
Standard-DQN,15,118,2.6999999999999993,0.3024044356690215,0.9711049025257429,24
Standard-DQN,15,119,14.549999999999997,0.29938039131233124,0.9819454550743103,24
Standard-DQN,15,120,15.599999999999996,0.2963865873992079,0.942148016144832,24
Standard-DQN,15,121,14.249999999999998,0.29342272152521587,0.9575272382547458,24
Standard-DQN,15,122,14.349999999999996,0.2904884943099637,1.1010640400151412,24
Standard-DQN,15,123,13.299999999999995,0.28758360936686406,1.0815498208006222,24
Standard-DQN,15,124,13.449999999999998,0.2847077732731954,0.9304858309527239,24
Standard-DQN,15,125,7.899999999999999,0.28186069554046345,0.9460458109776179,24
Standard-DQN,15,126,16.849999999999998,0.2790420885850588,0.8048754514505466,24
Standard-DQN,15,127,18.64999999999999,0.2762516676992082,0.8693064860999584,24
Standard-DQN,15,128,15.499999999999998,0.27348915102221616,0.9698603569219509,24
Standard-DQN,15,129,12.199999999999996,0.270754259511994,0.874084768195947,24
Standard-DQN,15,130,5.3,0.26804671691687404,0.8252096772193909,24
Standard-DQN,15,131,15.449999999999996,0.2653662497477053,1.099673726906379,24
Standard-DQN,15,132,16.75,0.2627125872502282,1.316187387953202,24
Standard-DQN,15,133,3.5500000000000003,0.2600854613777259,1.051639902095,24
Standard-DQN,15,134,14.549999999999995,0.2574846067639487,0.9588270299136639,24
Standard-DQN,15,135,15.999999999999998,0.2549097606963092,1.012490527704358,24
Standard-DQN,15,136,17.749999999999996,0.2523606630893461,1.2077559158205986,24
Standard-DQN,15,137,19.949999999999992,0.24983705645845267,1.2709665012856324,24
Standard-DQN,15,138,18.999999999999996,0.24733868589386815,1.0478008513649304,24
