model,seed,episode,episode_reward,epsilon,mean_loss,steps
Small-DQN,23,0,-29.8,0.99,,24
Small-DQN,23,1,-21.1,0.9801,,3
Small-DQN,23,2,-51.55,0.9702989999999999,13.059055600847516,18
Small-DQN,23,3,-45.5,0.96059601,14.11485595703125,20
Small-DQN,23,4,-32.7,0.9509900498999999,13.313784939902169,21
Small-DQN,23,5,12.199999999999998,0.9414801494009999,11.412632167339325,24
Small-DQN,23,6,3.999999999999998,0.9320653479069899,8.906455755233765,24
Small-DQN,23,7,-11.750000000000002,0.92274469442792,7.603911737600963,24
Small-DQN,23,8,7.05,0.9135172474836407,6.838595002889633,24
Small-DQN,23,9,-9.599999999999998,0.9043820750088043,4.875416139761607,24
Small-DQN,23,10,-21.05,0.8953382542587163,5.020507617430254,11
Small-DQN,23,11,9.899999999999999,0.8863848717161291,6.10478804508845,24
Small-DQN,23,12,-1.4499999999999997,0.8775210229989678,4.787979652484258,24
Small-DQN,23,13,9.2,0.8687458127689781,4.341658453146617,24
Small-DQN,23,14,-3.1500000000000004,0.8600583546412883,3.555407519141833,24
Small-DQN,23,15,-11.049999999999999,0.8514577710948754,3.7672036786874137,24
Small-DQN,23,16,-11.4,0.8429431933839266,3.8117003440856934,24
Small-DQN,23,17,-27.699999999999992,0.8345137614500874,3.321748197078705,24
Small-DQN,23,18,-62.04999999999999,0.8261686238355865,3.013707235455513,24
Small-DQN,23,19,-11.549999999999997,0.8179069375972307,3.4260957340399423,24
Small-DQN,23,20,10.049999999999997,0.8097278682212583,2.7512910614411035,24
Small-DQN,23,21,5.599999999999999,0.8016305895390458,3.115712588032087,24
Small-DQN,23,22,-16.0,0.7936142836436553,3.281999945640564,2
Small-DQN,23,23,-40.64999999999998,0.7856781408072188,2.8294978588819504,24
Small-DQN,23,24,-52.34999999999998,0.7778213593991465,2.9208097954591117,24
Small-DQN,23,25,-5.250000000000001,0.7700431458051551,3.050054664413134,24
Small-DQN,23,26,7.949999999999999,0.7623427143471035,2.5918055325746536,24
Small-DQN,23,27,9.2,0.7547192872036325,2.7187564820051193,24
Small-DQN,23,28,-21.8,0.7471720943315961,2.585700919230779,24
Small-DQN,23,29,-14.250000000000002,0.7397003733882802,2.4881277109185853,24
Small-DQN,23,30,-17.6,0.7323033696543974,2.326356659332911,24
Small-DQN,23,31,4.949999999999999,0.7249803359578534,2.115230997403463,24
Small-DQN,23,32,-2.349999999999999,0.7177305325982748,2.1051458989580474,24
Small-DQN,23,33,-20.65,0.7105532272722921,2.3465001312169163,22
Small-DQN,23,34,14.649999999999997,0.7034476949995692,2.268551384409269,24
Small-DQN,23,35,-9.650000000000002,0.6964132180495735,1.9434342781702678,24
Small-DQN,23,36,-29.14999999999999,0.6894490858690777,1.8572383945186932,24
Small-DQN,23,37,-13.05,0.682554595010387,2.2138385474681854,24
Small-DQN,23,38,2.8,0.6757290490602831,1.9012235005696614,24
Small-DQN,23,39,1.5999999999999988,0.6689717585696803,2.1129408553242683,24
Small-DQN,23,40,-0.1000000000000012,0.6622820409839835,1.5725603476166725,24
