comparison,wilcoxon_stat,p_value_raw,fusion_mean,other_mean,mean_difference,median_difference,percent_gain_over_other,p_value_holm
Fusion-a0.8 vs RuleBased,0.0,1.862645149230957e-09,20.417466666666662,7.551300000000001,12.866166666666663,12.918999999999997,170.3834657559402,9.313225746154785e-09
Fusion-a0.8 vs VQC-DQN,0.0,1.862645149230957e-09,20.417466666666662,20.044083333333333,0.3733833333333333,0.2630000000000017,1.8628107204389408,9.313225746154785e-09
Fusion-a0.8 vs Small-DQN,17.0,3.855675458908081e-07,20.417466666666662,18.354683333333334,2.0627833333333325,1.3352499999999985,11.238457753522393,1.1567026376724243e-06
Fusion-a0.8 vs Random,0.0,1.7333066441991056e-06,20.417466666666662,-22.866016666666667,43.283483333333315,43.35875,189.29175092180094,3.4666132883982113e-06
Fusion-a0.8 vs Standard-DQN,130.0,0.034536734223365784,20.417466666666662,20.55336666666666,-0.13589999999999922,-0.2042499999999965,-0.6612055442687025,0.034536734223365784
