profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,-3.6999999999999993,24,0.0,10,4,10,0.16666666666666666,0.041666666666666664,0.0,0.0,0.6666666666666666,Random,13,0
mild_risk,-50.7,12,1.0,5,6,1,0.0,0.75,0.08333333333333333,0.0,0.75,Random,13,1
mild_risk,-14.55,24,0.0,2,9,13,0.2916666666666667,0.0,0.0,0.0,0.7083333333333334,Random,13,2
mild_risk,-70.69999999999999,24,0.0,7,10,7,0.041666666666666664,0.5833333333333334,0.0,0.0,0.6666666666666666,Random,13,3
mild_risk,-13.100000000000003,24,0.0,7,10,7,0.0,0.08333333333333333,0.0,0.0,0.75,Random,13,4
mild_risk,-24.6,24,0.0,6,4,14,0.125,0.0,0.0,0.0,0.6666666666666666,Random,13,5
mild_risk,-24.05,13,1.0,7,3,3,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.6153846153846154,Random,13,6
mild_risk,-10.600000000000001,24,0.0,6,7,11,0.2916666666666667,0.0,0.0,0.0,0.5833333333333334,Random,13,7
mild_risk,-57.14999999999999,24,0.0,8,9,7,0.0,0.4583333333333333,0.0,0.0,0.7083333333333334,Random,13,8
mild_risk,-20.45,22,1.0,8,10,4,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.0,0.6818181818181818,Random,13,9
mild_risk,-19.75,21,1.0,9,8,4,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.0,0.7142857142857143,Random,13,10
mild_risk,-54.79999999999999,23,1.0,7,12,4,0.08695652173913043,0.43478260869565216,0.043478260869565216,0.0,0.6521739130434783,Random,13,11
mild_risk,-22.65,11,1.0,6,2,3,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,0.5454545454545454,Random,13,12
mild_risk,-0.09999999999999964,24,0.0,9,6,9,0.125,0.0,0.0,0.0,0.8333333333333334,Random,13,13
mild_risk,-31.2,13,1.0,7,4,2,0.0,0.38461538461538464,0.07692307692307693,0.0,0.6153846153846154,Random,13,14
mild_risk,-1.799999999999998,24,0.0,7,10,7,0.4166666666666667,0.08333333333333333,0.0,0.0,0.5,Random,13,15
mild_risk,-26.35,14,1.0,5,7,2,0.0,0.2857142857142857,0.07142857142857142,0.0,0.5714285714285714,Random,13,16
mild_risk,-19.3,22,1.0,9,8,5,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.0,0.6363636363636364,Random,13,17
mild_risk,-11.900000000000002,24,0.0,8,4,12,0.25,0.0,0.0,0.0,0.75,Random,13,18
mild_risk,-7.600000000000001,24,0.0,8,6,10,0.20833333333333334,0.08333333333333333,0.0,0.0,0.75,Random,13,19
moderate_risk,-25.6,8,1.0,4,2,2,0.0,0.5,0.125,0.0,0.625,Random,13,0
