model,seed,episode,episode_reward,epsilon,mean_loss,steps
VQC-DQN,5,0,-36.75,0.99,,19
VQC-DQN,5,1,-6.6499999999999995,0.9801,6.6250936190287275,24
VQC-DQN,5,2,-9.100000000000001,0.9702989999999999,4.939924036463101,24
VQC-DQN,5,3,-21.1,0.96059601,4.0550754122112105,23
VQC-DQN,5,4,-36.150000000000006,0.9509900498999999,5.088490550334637,13
VQC-DQN,5,5,-4.85,0.9414801494009999,6.195141464471817,24
VQC-DQN,5,6,-85.59999999999998,0.9320653479069899,6.912749760291156,17
VQC-DQN,5,7,-35.4,0.92274469442792,6.488670527935028,8
VQC-DQN,5,8,8.949999999999998,0.9135172474836407,6.956192642450333,24
VQC-DQN,5,9,-23.05,0.9043820750088043,6.049860427776973,24
VQC-DQN,5,10,-28.0,0.8953382542587163,6.177486777305603,4
VQC-DQN,5,11,-22.200000000000003,0.8863848717161291,6.509586443503697,24
VQC-DQN,5,12,9.200000000000001,0.8775210229989678,5.984090516964595,24
VQC-DQN,5,13,-11.800000000000002,0.8687458127689781,4.887710829575856,24
VQC-DQN,5,14,1.2499999999999996,0.8600583546412883,4.397064447402954,24
VQC-DQN,5,15,-22.0,0.8514577710948754,3.3491478761037192,3
VQC-DQN,5,16,0.050000000000000044,0.8429431933839266,3.582684636116028,24
VQC-DQN,5,17,6.750000000000001,0.8345137614500874,3.1549383401870728,24
VQC-DQN,5,18,-3.5499999999999994,0.8261686238355865,3.097700441877047,24
VQC-DQN,5,19,-18.34999999999999,0.8179069375972307,2.7504176050424576,24
VQC-DQN,5,20,-47.599999999999994,0.8097278682212583,2.9019140980460425,11
VQC-DQN,5,21,6.8,0.8016305895390458,3.0190879801909127,24
VQC-DQN,5,22,-60.89999999999999,0.7936142836436553,2.4394446313381195,24
VQC-DQN,5,23,-20.15,0.7856781408072188,2.0413720309734344,4
VQC-DQN,5,24,13.349999999999998,0.7778213593991465,2.249325707554817,24
VQC-DQN,5,25,-11.35,0.7700431458051551,2.008315022786458,15
VQC-DQN,5,26,-1.2499999999999991,0.7623427143471035,2.0077535261710486,24
VQC-DQN,5,27,-62.04999999999998,0.7547192872036325,1.7728648781776428,24
VQC-DQN,5,28,4.8999999999999995,0.7471720943315961,1.7165630161762238,24
VQC-DQN,5,29,11.149999999999999,0.7397003733882802,1.6894317045807838,24
VQC-DQN,5,30,-42.15,0.7323033696543974,1.6082144787437038,19
VQC-DQN,5,31,-26.550000000000004,0.7249803359578534,2.184476067622503,24
VQC-DQN,5,32,-6.1,0.7177305325982748,1.9677006552616756,24
VQC-DQN,5,33,-25.55,0.7105532272722921,1.8135471095641453,24
VQC-DQN,5,34,2.25,0.7034476949995692,1.8649244755506516,24
VQC-DQN,5,35,-52.34999999999998,0.6964132180495735,1.820905548830827,24
VQC-DQN,5,36,-3.8000000000000003,0.6894490858690777,1.7030794868866603,24
VQC-DQN,5,37,-1.4499999999999997,0.682554595010387,1.4607054417332013,24
VQC-DQN,5,38,-61.34999999999999,0.6757290490602831,1.6510441104571025,18
VQC-DQN,5,39,6.599999999999998,0.6689717585696803,1.3605597491065662,24
VQC-DQN,5,40,-0.1999999999999995,0.6622820409839835,1.5871504197518032,24
VQC-DQN,5,41,4.5,0.6556592205741436,1.7392740199963252,24
VQC-DQN,5,42,-0.2999999999999996,0.6491026283684022,1.7883760631084442,24
VQC-DQN,5,43,4.800000000000001,0.6426116020847181,1.8968737026055653,24
VQC-DQN,5,44,-9.05,0.6361854860638709,1.6075908814867337,24
VQC-DQN,5,45,6.649999999999998,0.6298236312032323,1.8827526718378067,24
VQC-DQN,5,46,-1.6000000000000025,0.6235253948912,1.6156824380159378,24
VQC-DQN,5,47,16.799999999999997,0.617290140942288,1.4074939439694087,24
VQC-DQN,5,48,0.7499999999999981,0.6111172395328651,1.354104404648145,24
VQC-DQN,5,49,1.9500000000000002,0.6050060671375365,1.3329704130689304,24
VQC-DQN,5,50,12.149999999999997,0.5989560064661611,1.188355954984824,24
VQC-DQN,5,51,5.55,0.5929664464014994,1.4814384256800015,24
VQC-DQN,5,52,3.3,0.5870367819374844,1.4426943386594455,24
VQC-DQN,5,53,8.9,0.5811664141181095,1.4247387523452442,24
VQC-DQN,5,54,1.15,0.5753547499769285,1.3185507021844387,24
VQC-DQN,5,55,7.599999999999998,0.5696012024771592,1.2972064390778542,24
VQC-DQN,5,56,10.149999999999997,0.5639051904523876,1.1704856132467587,24
VQC-DQN,5,57,6.6000000000000005,0.5582661385478638,1.2439235672354698,24
VQC-DQN,5,58,19.949999999999992,0.5526834771623851,1.248949623356263,24
VQC-DQN,5,59,16.8,0.5471566423907612,1.2385996182759602,24
VQC-DQN,5,60,-16.39999999999999,0.5416850759668536,1.0724520484606426,24
VQC-DQN,5,61,10.199999999999998,0.536268225207185,1.3177023455500603,24
VQC-DQN,5,62,6.649999999999999,0.5309055429551132,1.0537565077344577,24
VQC-DQN,5,63,11.399999999999997,0.525596487525562,1.4727052450180054,24
VQC-DQN,5,64,3.050000000000001,0.5203405226503064,1.339010129372279,24
VQC-DQN,5,65,13.149999999999997,0.5151371174238033,1.3548653696974118,24
VQC-DQN,5,66,11.249999999999998,0.5099857462495653,1.0261798513432343,24
VQC-DQN,5,67,-26.799999999999983,0.5048858887870696,1.108727967987458,24
VQC-DQN,5,68,15.499999999999995,0.4998370298991989,1.3249888221422832,24
VQC-DQN,5,69,13.249999999999998,0.49483865960020695,1.1415795187155406,24
VQC-DQN,5,70,9.1,0.4898902730042049,1.1161773167550564,24
VQC-DQN,5,71,13.249999999999998,0.48499137027416284,1.3531988983352978,24
VQC-DQN,5,72,11.249999999999998,0.4801414565714212,1.025667678564787,24
VQC-DQN,5,73,15.549999999999997,0.475340042005707,1.1449787318706512,24
VQC-DQN,5,74,4.150000000000001,0.47058664158564995,1.112566997607549,24
VQC-DQN,5,75,14.549999999999995,0.4658807751697934,1.0638746817906697,24
VQC-DQN,5,76,8.45,0.4612219674180955,0.9867259276409944,24
VQC-DQN,5,77,4.499999999999998,0.45660974774391455,1.1206079100569089,24
VQC-DQN,5,78,9.900000000000002,0.4520436502664754,0.9941360925634702,24
VQC-DQN,5,79,12.35,0.44752321376381066,1.2168334499001503,24
VQC-DQN,5,80,14.299999999999995,0.44304798162617254,1.1454342529177666,24
VQC-DQN,5,81,4.6000000000000005,0.4386175018099108,1.2234402721126874,24
VQC-DQN,5,82,13.349999999999996,0.4342313267918117,1.2839821552236874,24
VQC-DQN,5,83,8.95,0.4298890135238936,1.0461628635724385,24
VQC-DQN,5,84,11.15,0.42559012338865465,1.0583875974019368,24
VQC-DQN,5,85,-23.150000000000002,0.4213342221547681,0.9682092517614365,24
VQC-DQN,5,86,2.4,0.41712087993322045,1.065700647731622,24
VQC-DQN,5,87,2.6500000000000004,0.41294967113388825,0.8749488915006319,24
VQC-DQN,5,88,-10.0,0.40882017442254937,1.876487135887146,1
VQC-DQN,5,89,4.5,0.4047319726783239,0.8462612616519133,24
VQC-DQN,5,90,14.399999999999995,0.40068465295154065,0.9483077277739843,24
VQC-DQN,5,91,-1.3000000000000016,0.39667780642202527,1.2649191468954086,24
VQC-DQN,5,92,11.299999999999999,0.392711028357805,1.0737664525707562,24
VQC-DQN,5,93,7.900000000000002,0.38878391807422696,0.9668969462315241,24
VQC-DQN,5,94,5.649999999999997,0.3848960788934847,1.0349935020009677,24
VQC-DQN,5,95,13.549999999999999,0.38104711810454983,0.7117028050124645,24
VQC-DQN,5,96,8.9,0.37723664692350434,0.9300754790504774,24
VQC-DQN,5,97,12.75,0.37346428045426927,0.8622753073771795,24
VQC-DQN,5,98,6.500000000000001,0.36972963764972655,0.8135193524261316,24
VQC-DQN,5,99,18.949999999999996,0.36603234127322926,0.7449702322483063,24
VQC-DQN,5,100,16.699999999999996,0.36237201786049694,0.7456303065021833,24
VQC-DQN,5,101,15.799999999999997,0.358748297681892,0.9605196143190066,24
VQC-DQN,5,102,12.299999999999999,0.35516081470507305,0.8209289585550626,24
VQC-DQN,5,103,12.4,0.3516092065580223,0.8442154228687286,24
VQC-DQN,5,104,15.499999999999996,0.34809311449244207,0.8593463438252608,24
VQC-DQN,5,105,11.15,0.34461218334751764,0.7606111578643322,24
VQC-DQN,5,106,20.049999999999997,0.34116606151404244,0.7970225277046362,24
VQC-DQN,5,107,5.1499999999999995,0.337754400898902,0.745513778179884,24
VQC-DQN,5,108,12.95,0.334376856889913,0.7359223744521538,24
VQC-DQN,5,109,3.85,0.33103308832101386,0.8984510414302349,24
VQC-DQN,5,110,19.849999999999994,0.3277227574378037,0.7160292019446691,24
VQC-DQN,5,111,14.699999999999996,0.3244455298634257,0.9508388613661131,24
