profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
mild_risk,21.899999999999995,24,0.0,6,9,9,0.9583333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,4,0,map_only
mild_risk,23.299999999999994,24,0.0,2,15,7,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,4,1,map_only
mild_risk,23.249999999999993,24,0.0,3,13,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,4,2,map_only
mild_risk,22.14999999999999,24,0.0,4,13,7,0.9583333333333334,0.0,0.0,0.0,0.625,Standard-DQN,4,3,map_only
mild_risk,23.04999999999999,24,0.0,7,8,9,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,4,4,map_only
mild_risk,21.099999999999994,24,0.0,4,14,6,0.9166666666666666,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,4,5,map_only
mild_risk,21.949999999999992,24,0.0,4,11,9,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,4,6,map_only
mild_risk,22.04999999999999,24,0.0,5,10,9,0.9583333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,4,7,map_only
mild_risk,21.79999999999999,24,0.0,8,6,10,0.9583333333333334,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,4,8,map_only
mild_risk,23.399999999999995,24,0.0,2,16,6,1.0,0.0,0.0,0.0,0.5,Standard-DQN,4,9,map_only
mild_risk,23.199999999999992,24,0.0,4,13,7,1.0,0.0,0.0,0.0,0.6666666666666666,Standard-DQN,4,10,map_only
mild_risk,20.999999999999993,24,0.0,3,13,8,0.9166666666666666,0.0,0.0,0.0,0.6666666666666666,Standard-DQN,4,11,map_only
mild_risk,21.299999999999997,24,0.0,0,18,6,0.9166666666666666,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,12,map_only
mild_risk,21.099999999999994,24,0.0,2,15,7,0.9166666666666666,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,4,13,map_only
mild_risk,23.299999999999994,24,0.0,2,15,7,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,4,14,map_only
mild_risk,23.349999999999994,24,0.0,2,16,6,1.0,0.0,0.0,0.0,0.5416666666666666,Standard-DQN,4,15,map_only
