profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
mild_risk,22.199999999999996,24,0.0,3,12,9,0.9583333333333334,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,12,0,map_only
mild_risk,23.249999999999993,24,0.0,5,11,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,12,1,map_only
mild_risk,23.199999999999996,24,0.0,5,10,9,1.0,0.0,0.0,0.0,0.6666666666666666,Standard-DQN,12,2,map_only
mild_risk,22.999999999999993,24,0.0,8,6,10,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,12,3,map_only
mild_risk,22.99999999999999,24,0.0,8,6,10,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,12,4,map_only
mild_risk,22.049999999999994,24,0.0,5,10,9,0.9583333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,12,5,map_only
mild_risk,20.799999999999994,24,0.0,8,6,10,0.9166666666666666,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,12,6,map_only
mild_risk,23.249999999999996,24,0.0,3,13,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,12,7,map_only
mild_risk,23.249999999999993,24,0.0,6,10,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,12,8,map_only
mild_risk,23.049999999999994,24,0.0,6,9,9,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,12,9,map_only
mild_risk,22.999999999999993,24,0.0,7,8,9,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,12,10,map_only
mild_risk,22.299999999999997,24,0.0,3,15,6,0.9583333333333334,0.0,0.0,0.0,0.5,Standard-DQN,12,11,map_only
mild_risk,23.299999999999997,24,0.0,3,13,8,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,12,12,map_only
mild_risk,23.099999999999994,24,0.0,5,9,10,1.0,0.0,0.0,0.0,0.75,Standard-DQN,12,13,map_only
mild_risk,20.999999999999996,24,0.0,6,10,8,0.9166666666666666,0.0,0.0,0.0,0.6666666666666666,Standard-DQN,12,14,map_only
mild_risk,22.299999999999997,24,0.0,3,15,6,0.9583333333333334,0.0,0.0,0.0,0.5,Standard-DQN,12,15,map_only
mild_risk,22.049999999999994,24,0.0,5,10,9,0.9583333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,12,16,map_only
