profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
high_risk,20.15,24,0.0,0,15,9,0.875,0.0,0.0,0.0,0.4583333333333333,Standard-DQN,4,6,full
high_risk,19.2,24,0.0,0,17,7,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,7,full
high_risk,20.299999999999997,24,0.0,0,17,7,0.875,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,8,full
high_risk,21.149999999999995,24,0.0,3,12,9,0.9166666666666666,0.0,0.0,0.0,0.5416666666666666,Standard-DQN,4,9,full
high_risk,21.349999999999994,24,0.0,1,16,7,0.9166666666666666,0.0,0.0,0.0,0.375,Standard-DQN,4,10,full
high_risk,20.099999999999994,24,0.0,1,15,8,0.875,0.0,0.0,0.0,0.5,Standard-DQN,4,11,full
high_risk,16.799999999999997,24,0.0,0,16,8,0.75,0.0,0.0,0.0,0.5,Standard-DQN,4,12,full
high_risk,18.0,24,0.0,0,16,8,0.7916666666666666,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,13,full
high_risk,20.299999999999997,24,0.0,0,17,7,0.875,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,14,full
high_risk,21.299999999999997,24,0.0,0,17,7,0.9166666666666666,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,15,full
high_risk,21.299999999999997,24,0.0,1,16,7,0.9166666666666666,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,16,full
high_risk,18.9,24,0.0,1,13,10,0.8333333333333334,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,4,17,full
high_risk,21.199999999999996,24,0.0,1,16,7,0.9166666666666666,0.0,0.0,0.0,0.5,Standard-DQN,4,18,full
high_risk,21.199999999999996,24,0.0,2,14,8,0.9166666666666666,0.0,0.0,0.0,0.5,Standard-DQN,4,19,full
shock_like,19.149999999999995,24,0.0,1,15,8,0.875,0.0,0.0,0.041666666666666664,0.4583333333333333,Standard-DQN,4,0,full
shock_like,15.3,24,0.0,0,16,8,0.875,0.041666666666666664,0.0,0.0,0.4166666666666667,Standard-DQN,4,1,full
shock_like,20.049999999999997,24,0.0,1,14,9,0.875,0.0,0.0,0.0,0.5416666666666666,Standard-DQN,4,2,full
shock_like,20.299999999999997,24,0.0,1,15,8,0.875,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,3,full
shock_like,17.949999999999996,24,0.0,3,11,10,0.8333333333333334,0.0,0.0,0.041666666666666664,0.5416666666666666,Standard-DQN,4,4,full
shock_like,20.4,24,0.0,0,18,6,0.875,0.0,0.0,0.0,0.25,Standard-DQN,4,5,full
shock_like,19.099999999999998,24,0.0,0,15,9,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,6,full
shock_like,17.199999999999996,24,0.0,0,16,8,0.8333333333333334,0.0,0.0,0.08333333333333333,0.3333333333333333,Standard-DQN,4,7,full
shock_like,14.149999999999999,24,0.0,2,13,9,0.8333333333333334,0.041666666666666664,0.0,0.0,0.4583333333333333,Standard-DQN,4,8,full
shock_like,19.099999999999998,24,0.0,1,15,8,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,9,full
shock_like,19.099999999999998,24,0.0,1,15,8,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,10,full
shock_like,18.099999999999998,24,0.0,0,16,8,0.8333333333333334,0.0,0.0,0.041666666666666664,0.4166666666666667,Standard-DQN,4,11,full
shock_like,12.0,24,0.0,0,15,9,0.7916666666666666,0.041666666666666664,0.0,0.041666666666666664,0.5,Standard-DQN,4,12,full
shock_like,19.099999999999998,24,0.0,0,15,9,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,13,full
shock_like,14.2,24,0.0,1,14,9,0.8333333333333334,0.041666666666666664,0.0,0.0,0.4166666666666667,Standard-DQN,4,14,full
shock_like,18.099999999999998,24,0.0,1,15,8,0.8333333333333334,0.0,0.0,0.041666666666666664,0.4166666666666667,Standard-DQN,4,15,full
shock_like,20.299999999999997,24,0.0,0,17,7,0.875,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,16,full
shock_like,13.149999999999999,24,0.0,0,14,10,0.8333333333333334,0.041666666666666664,0.0,0.041666666666666664,0.4583333333333333,Standard-DQN,4,17,full
shock_like,19.299999999999997,24,0.0,0,17,7,0.875,0.0,0.0,0.041666666666666664,0.3333333333333333,Standard-DQN,4,18,full
shock_like,20.249999999999996,24,0.0,1,15,8,0.875,0.0,0.0,0.0,0.375,Standard-DQN,4,19,full
recovering,23.549999999999994,24,0.0,1,19,4,1.0,0.0,0.0,0.0,0.375,Standard-DQN,4,0,full
recovering,22.399999999999995,24,0.0,0,19,5,0.9583333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,1,full
recovering,22.399999999999995,24,0.0,0,19,5,0.9583333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,2,full
recovering,23.599999999999994,24,0.0,1,19,4,1.0,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,3,full
recovering,23.499999999999996,24,0.0,2,17,5,1.0,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,4,4,full
recovering,23.599999999999998,24,0.0,2,18,4,1.0,0.0,0.0,0.0,0.3333333333333333,Standard-DQN,4,5,full
recovering,22.349999999999998,24,0.0,0,18,6,0.9583333333333334,0.0,0.0,0.0,0.4583333333333333,Standard-DQN,4,6,full
