profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
mild_risk,22.299999999999997,24,0.0,1,17,6,0.9583333333333334,0.0,0.0,0.0,0.5,Standard-DQN,19,0,full
mild_risk,23.14999999999999,24,0.0,4,11,9,1.0,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,19,1,full
mild_risk,23.299999999999994,24,0.0,2,15,7,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,19,2,full
mild_risk,23.499999999999996,24,0.0,0,19,5,1.0,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,19,3,full
mild_risk,23.449999999999996,24,0.0,1,18,5,1.0,0.0,0.0,0.0,0.4583333333333333,Standard-DQN,19,4,full
mild_risk,23.399999999999995,24,0.0,2,17,5,1.0,0.0,0.0,0.0,0.5,Standard-DQN,19,5,full
mild_risk,23.299999999999994,24,0.0,1,16,7,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,19,6,full
mild_risk,23.399999999999995,24,0.0,2,16,6,1.0,0.0,0.0,0.0,0.5,Standard-DQN,19,7,full
mild_risk,23.449999999999992,24,0.0,2,16,6,1.0,0.0,0.0,0.0,0.4583333333333333,Standard-DQN,19,8,full
mild_risk,21.049999999999997,24,0.0,3,12,9,0.9166666666666666,0.0,0.0,0.0,0.625,Standard-DQN,19,9,full
mild_risk,23.39999999999999,24,0.0,3,14,7,1.0,0.0,0.0,0.0,0.5,Standard-DQN,19,10,full
mild_risk,23.499999999999996,24,0.0,4,14,6,1.0,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,19,11,full
mild_risk,22.399999999999995,24,0.0,1,17,6,0.9583333333333334,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,19,12,full
mild_risk,23.499999999999996,24,0.0,2,17,5,1.0,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,19,13,full
mild_risk,23.449999999999996,24,0.0,1,17,6,1.0,0.0,0.0,0.0,0.4583333333333333,Standard-DQN,19,14,full
mild_risk,23.499999999999996,24,0.0,1,18,5,1.0,0.0,0.0,0.0,0.4166666666666667,Standard-DQN,19,15,full
mild_risk,23.399999999999995,24,0.0,1,16,7,1.0,0.0,0.0,0.0,0.5,Standard-DQN,19,16,full
mild_risk,23.299999999999994,24,0.0,3,14,7,1.0,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,19,17,full
