profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
mild_risk,23.099999999999994,24,0.0,5,10,9,1.0,0.0,0.0,0.0,0.75,Standard-DQN,10,0,map_only
mild_risk,23.249999999999996,24,0.0,5,11,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,10,1,map_only
mild_risk,22.94999999999999,24,0.0,6,8,10,1.0,0.0,0.0,0.0,0.875,Standard-DQN,10,2,map_only
mild_risk,21.949999999999992,24,0.0,5,9,10,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,3,map_only
mild_risk,22.049999999999994,24,0.0,7,9,8,0.9583333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,10,4,map_only
mild_risk,21.79999999999999,24,0.0,9,4,11,0.9583333333333334,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,5,map_only
mild_risk,21.89999999999999,24,0.0,6,8,10,0.9583333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,6,map_only
mild_risk,21.949999999999992,24,0.0,6,8,10,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,7,map_only
mild_risk,21.949999999999992,24,0.0,7,8,9,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,8,map_only
mild_risk,21.849999999999994,24,0.0,9,5,10,0.9583333333333334,0.0,0.0,0.0,0.875,Standard-DQN,10,9,map_only
mild_risk,22.89999999999999,24,0.0,9,4,11,1.0,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,10,map_only
mild_risk,21.949999999999992,24,0.0,6,8,10,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,11,map_only
mild_risk,22.949999999999992,24,0.0,9,5,10,1.0,0.0,0.0,0.0,0.875,Standard-DQN,10,12,map_only
mild_risk,22.949999999999992,24,0.0,7,7,10,1.0,0.0,0.0,0.0,0.875,Standard-DQN,10,13,map_only
mild_risk,22.999999999999993,24,0.0,6,9,9,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,14,map_only
mild_risk,23.04999999999999,24,0.0,5,10,9,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,15,map_only
mild_risk,22.89999999999999,24,0.0,7,7,10,1.0,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,16,map_only
mild_risk,22.999999999999993,24,0.0,7,6,11,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,17,map_only
mild_risk,18.599999999999994,24,0.0,9,4,11,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,18,map_only
mild_risk,23.349999999999994,24,0.0,3,15,6,1.0,0.0,0.0,0.0,0.5416666666666666,Standard-DQN,10,19,map_only
moderate_risk,21.999999999999993,24,0.0,6,7,11,0.9583333333333334,0.0,0.0,0.0,0.75,Standard-DQN,10,0,map_only
moderate_risk,21.84999999999999,24,0.0,11,1,12,0.9583333333333334,0.0,0.0,0.0,0.875,Standard-DQN,10,1,map_only
moderate_risk,19.699999999999992,24,0.0,8,4,12,0.875,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,2,map_only
moderate_risk,20.749999999999993,24,0.0,7,4,13,0.9166666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,3,map_only
moderate_risk,18.749999999999993,24,0.0,8,5,11,0.8333333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,10,4,map_only
moderate_risk,19.59999999999999,24,0.0,10,1,13,0.875,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,5,map_only
moderate_risk,17.449999999999996,24,0.0,9,2,13,0.7916666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,6,map_only
moderate_risk,20.799999999999994,24,0.0,7,5,12,0.9166666666666666,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,7,map_only
moderate_risk,20.799999999999994,24,0.0,8,5,11,0.9166666666666666,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,8,map_only
moderate_risk,19.699999999999992,24,0.0,10,3,11,0.875,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,9,map_only
moderate_risk,19.699999999999992,24,0.0,7,6,11,0.875,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,10,map_only
moderate_risk,20.849999999999994,24,0.0,7,5,12,0.9166666666666666,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,11,map_only
moderate_risk,18.499999999999993,24,0.0,8,6,10,0.8333333333333334,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,12,map_only
moderate_risk,19.749999999999993,24,0.0,8,4,12,0.875,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,13,map_only
moderate_risk,19.699999999999992,24,0.0,7,6,11,0.875,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,14,map_only
moderate_risk,18.749999999999993,24,0.0,6,7,11,0.8333333333333334,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,10,15,map_only
moderate_risk,21.79999999999999,24,0.0,11,0,13,0.9583333333333334,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,10,16,map_only
moderate_risk,19.799999999999994,24,0.0,8,3,13,0.875,0.0,0.0,0.0,0.75,Standard-DQN,10,17,map_only
moderate_risk,20.799999999999994,24,0.0,7,6,11,0.9166666666666666,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,18,map_only
moderate_risk,20.749999999999993,24,0.0,10,2,12,0.9166666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,19,map_only
high_risk,19.799999999999994,24,0.0,8,3,13,0.875,0.0,0.0,0.0,0.75,Standard-DQN,10,0,map_only
high_risk,19.799999999999994,24,0.0,8,4,12,0.875,0.0,0.0,0.0,0.75,Standard-DQN,10,1,map_only
high_risk,17.549999999999994,24,0.0,6,6,12,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,2,map_only
high_risk,18.549999999999994,24,0.0,7,3,14,0.8333333333333334,0.0,0.0,0.0,0.875,Standard-DQN,10,3,map_only
high_risk,18.649999999999995,24,0.0,10,2,12,0.8333333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,4,map_only
high_risk,19.64999999999999,24,0.0,9,1,14,0.875,0.0,0.0,0.0,0.875,Standard-DQN,10,5,map_only
high_risk,19.749999999999993,24,0.0,6,6,12,0.875,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,6,map_only
high_risk,15.299999999999994,24,0.0,8,3,13,0.7083333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,7,map_only
high_risk,18.649999999999995,24,0.0,8,4,12,0.8333333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,8,map_only
high_risk,18.549999999999994,24,0.0,9,3,12,0.8333333333333334,0.0,0.0,0.0,0.875,Standard-DQN,10,9,map_only
high_risk,18.599999999999994,24,0.0,9,1,14,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,10,map_only
high_risk,19.799999999999994,24,0.0,7,4,13,0.875,0.0,0.0,0.0,0.75,Standard-DQN,10,11,map_only
high_risk,18.549999999999994,24,0.0,10,1,13,0.8333333333333334,0.0,0.0,0.0,0.875,Standard-DQN,10,12,map_only
high_risk,19.749999999999993,24,0.0,8,3,13,0.875,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,13,map_only
high_risk,20.749999999999993,24,0.0,9,2,13,0.9166666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,14,map_only
high_risk,18.599999999999994,24,0.0,8,3,13,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,10,15,map_only
high_risk,20.749999999999993,24,0.0,10,0,14,0.9166666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,16,map_only
high_risk,19.749999999999993,24,0.0,8,3,13,0.875,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,17,map_only
high_risk,17.449999999999992,24,0.0,8,4,12,0.7916666666666666,0.0,0.0,0.0,0.875,Standard-DQN,10,18,map_only
high_risk,20.84999999999999,24,0.0,9,3,12,0.9166666666666666,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,19,map_only
shock_like,19.849999999999994,24,0.0,5,7,12,0.875,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,10,0,map_only
shock_like,13.949999999999998,24,0.0,7,5,12,0.875,0.041666666666666664,0.0,0.041666666666666664,0.7083333333333334,Standard-DQN,10,1,map_only
shock_like,17.549999999999994,24,0.0,7,4,13,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,10,2,map_only
shock_like,13.799999999999999,24,0.0,5,6,13,0.8333333333333334,0.041666666666666664,0.0,0.0,0.75,Standard-DQN,10,3,map_only
shock_like,16.649999999999995,24,0.0,8,4,12,0.7916666666666666,0.0,0.0,0.041666666666666664,0.7083333333333334,Standard-DQN,10,4,map_only
shock_like,16.499999999999996,24,0.0,9,1,14,0.7916666666666666,0.0,0.0,0.041666666666666664,0.8333333333333334,Standard-DQN,10,5,map_only
shock_like,11.65,24,0.0,9,0,15,0.75,0.041666666666666664,0.0,0.0,0.7083333333333334,Standard-DQN,10,6,map_only
shock_like,17.649999999999995,24,0.0,6,5,13,0.8333333333333334,0.0,0.0,0.041666666666666664,0.7916666666666666,Standard-DQN,10,7,map_only
shock_like,11.6,24,0.0,9,1,14,0.75,0.041666666666666664,0.0,0.0,0.75,Standard-DQN,10,8,map_only
shock_like,16.65,24,0.0,9,3,12,0.7916666666666666,0.0,0.0,0.041666666666666664,0.7083333333333334,Standard-DQN,10,9,map_only
shock_like,13.699999999999998,24,0.0,9,1,14,0.8333333333333334,0.041666666666666664,0.0,0.0,0.8333333333333334,Standard-DQN,10,10,map_only
shock_like,12.8,24,0.0,6,5,13,0.7916666666666666,0.041666666666666664,0.0,0.0,0.6666666666666666,Standard-DQN,10,11,map_only
